scenario_index,trace_comfort,csv_comfort,abs_error
2791,0.0,0.0,0.0
2795,0.7375,0.575,0.1625000000000001
2799,0.9125,0.9125,0.0
2805,0.6375,0.6,0.03749999999999998
2823,1.0,1.0,0.0
2847,0.6875,0.7,0.012499999999999956
2848,1.0,1.0,0.0
2857,0.8875,0.8875,0.0
2860,1.0,1.0,0.0
2861,0.6,0.5125,0.08750000000000002
2864,0.1,0.0875,0.012500000000000011
2882,0.875,0.875,0.0
2891,0.4875,0.4875,0.0
2895,0.6125,0.575,0.03750000000000009
2902,0.2125,0.16250001,0.049999989999999994
2907,0.4625,0.5,0.03749999999999998
2908,0.6125,0.5375,0.07500000000000007
2911,0.575,0.575,0.0
2913,0.0,0.0,0.0
2922,0.9125,0.9125,0.0
2923,0.6125,0.55,0.0625
2938,0.6666666666666666,0.6666667,3.333333331578814e-08
2947,0.75,0.75,0.0
2975,0.925,0.925,0.0
2977,0.6375,0.6375,0.0
3001,0.696969696969697,0.69696975,5.30303030377155e-08
3018,0.5,0.52500004,0.02500004
3025,0.9166666666666666,0.9166667,3.333333331578814e-08
3035,0.0,0.0,0.0
3037,0.425,0.425,0.0
3039,0.1375,0.1375,0.0
3040,0.925,1.0,0.07499999999999996
3042,0.875,0.875,0.0
3066,0.75,0.4375,0.3125
