scenario_index,groups,step,action_0,action_1,abs_delta_action_0,abs_delta_action_1,comfort_step,comfort_valid,lat_accel_max,long_accel_min,long_accel_max,long_jerk_max,yaw_rate_max,yaw_accel_max,viol_lat_accel,viol_long_brake,viol_long_accel,viol_long_jerk,viol_yaw_rate,viol_yaw_accel,x,y,yaw,speed
1,LOW_PROGRESS_SAFE,0,-0.028665807098150253,-0.290518581867218,,,1.0,1,0.1416710913181305,-0.4455903470516205,-0.014178619720041752,1.6344841718673706,0.10803762078285217,1.7284884452819824,0,0,0,0,0,0,-556.6450805664062,304.9004821777344,-1.6228622198104858,6.558466668653146
1,LOW_PROGRESS_SAFE,1,-0.06183798983693123,0.01005533616989851,0.033172182738780975,0.3005739180371165,1.0,1,0.1416710913181305,-0.33534082770347595,-0.014178619720041752,1.811413288116455,0.16719689965248108,1.7284884452819824,0,0,0,0,0,0,-556.6790771484375,304.24737548828125,-1.62088942527771,6.5213639720682055
1,LOW_PROGRESS_SAFE,2,-0.07181769609451294,0.006967410445213318,0.00997970625758171,0.003087925724685192,1.0,1,0.1416710913181305,-0.25445878505706787,-0.014178619720041752,1.811413288116455,0.16719689965248108,1.7284884452819824,0,0,0,0,0,0,-556.7116088867188,303.5982360839844,-1.6195307970046997,6.478273592606718
1,LOW_PROGRESS_SAFE,3,-0.07460595667362213,0.014658578671514988,0.002788260579109192,0.00769116822630167,1.0,1,0.1416710913181305,-0.36401787400245667,-0.014178619720041752,1.811413288116455,0.16719689965248108,1.7284884452819824,0,0,0,0,0,0,-556.7430419921875,302.9533996582031,-1.6166918277740479,6.433509976033952
1,LOW_PROGRESS_SAFE,4,-0.06841105222702026,0.011985096149146557,0.006194904446601868,0.002673482522368431,1.0,1,0.1416710913181305,-0.4198574125766754,-0.014178619720041752,1.811413288116455,0.16719689965248108,1.7284884452819824,0,0,0,0,0,0,-556.7724609375,302.3127746582031,-1.614385962486267,6.392463699248592
1,LOW_PROGRESS_SAFE,5,-0.08267977833747864,-0.03489253297448158,0.014268726110458374,0.04687762912362814,1.0,1,0.1129150539636612,-0.4428228437900543,-0.014178619720041752,1.811413288116455,0.16719689965248108,1.7284884452819824,0,0,0,0,0,0,-556.8001708984375,301.6766052246094,-1.6210514307022095,6.342855922493648
1,LOW_PROGRESS_SAFE,6,-0.08683227747678757,0.03679007291793823,0.0041524991393089294,0.07168260589241982,1.0,1,0.1129150539636612,-0.46568626165390015,-0.08455883711576462,1.811413288116455,0.16719689965248108,1.7076658010482788,0,0,0,0,0,0,-556.8319091796875,301.04571533203125,-1.6140795946121216,6.2907566635884145
1,LOW_PROGRESS_SAFE,7,-0.08924026787281036,0.08261273801326752,0.0024079903960227966,0.045822665095329285,1.0,1,0.1129150539636612,-0.49429839849472046,-0.24347150325775146,1.5888487100601196,0.16438141465187073,1.7076658010482788,0,0,0,0,0,0,-556.8590087890625,300.419921875,-1.598555088043213,6.237212759509867
1,LOW_PROGRESS_SAFE,8,-0.07826189696788788,-0.003169481409713626,0.010978370904922485,0.08578221942298114,1.0,1,0.1129150539636612,-0.5100569128990173,-0.36401787400245667,0.8801059722900391,0.09879961609840393,1.7076658010482788,0,0,0,0,0,0,-556.8762817382812,299.7987976074219,-1.5991458892822266,6.190255839387042
1,LOW_PROGRESS_SAFE,9,-0.07797586172819138,0.04788153991103172,0.0002860352396965027,0.05105102132074535,1.0,1,2.980232949312267e-08,-0.5100569128990173,-0.4198574125766754,0.39276158809661865,0.07646069675683975,0.5725194811820984,0,0,0,0,0,0,-556.8937377929688,299.182373046875,-1.5902875661849976,6.143470407578961
1,LOW_PROGRESS_SAFE,10,-0.07461940497159958,0.02899492159485817,0.003356456756591797,0.018886618316173553,1.0,1,2.980232594040899e-08,-0.5100569128990173,-0.4428228437900543,0.39276158809661865,0.07646069675683975,0.5725194811820984,0,0,0,0,0,0,-556.9056396484375,298.57037353515625,-1.5849632024765015,6.098698352391034
1,LOW_PROGRESS_SAFE,11,-0.07374579459428787,0.00174947630148381,0.0008736103773117065,0.02724544529337436,1.0,1,2.980232594040899e-08,-0.5100569128990173,-0.45708131790161133,0.39276158809661865,0.07646069675683975,0.5725194811820984,0,0,0,0,0,0,-556.9142456054688,297.9627685546875,-1.5846443176269531,6.054450236499459
1,LOW_PROGRESS_SAFE,12,-0.0693945363163948,0.033178068697452545,0.004351258277893066,0.031428592395968735,1.0,1,2.9802322387695312e-08,-0.5100569128990173,-0.44390344619750977,0.39276158809661865,0.07646069675683975,0.5725194811820984,0,0,0,0,0,0,-556.922607421875,297.3594665527344,-1.5786387920379639,6.012812984337789
1,LOW_PROGRESS_SAFE,13,-0.06990720331668854,-0.002683047903701663,0.0005126670002937317,0.03586111660115421,1.0,1,2.9802322387695312e-08,-0.5100569128990173,-0.43108701705932617,0.2529940605163574,0.07646069675683975,0.29576319456100464,0,0,0,0,0,0,-556.9273071289062,296.76031494140625,-1.5791211128234863,5.970868058899254
1,LOW_PROGRESS_SAFE,14,-0.06582050770521164,-0.011204435490071774,0.004086695611476898,0.00852138758637011,1.0,1,2.9802322387695312e-08,-0.4992689788341522,-0.41822388768196106,0.2529940605163574,0.07646069675683975,0.17629647254943848,0,0,0,0,0,0,-556.9322509765625,296.16522216796875,-1.5811214447021484,5.931376000771345
1,LOW_PROGRESS_SAFE,15,-0.07462945580482483,0.026418536901474,0.00880894809961319,0.03762297239154577,1.0,1,2.9802322387695312e-08,-0.4778580367565155,-0.41713765263557434,0.2529940605163574,0.06649980694055557,0.15892530977725983,0,0,0,0,0,0,-556.9383544921875,295.5743408203125,-1.5764381885528564,5.88659833685719
1,LOW_PROGRESS_SAFE,16,-0.06381992250680923,-0.01590690389275551,0.010809533298015594,0.04232544079422951,1.0,1,2.9802322387695312e-08,-0.45708131790161133,-0.41328099370002747,0.15451031923294067,0.04665670916438103,0.15892530977725983,0,0,0,0,0,0,-556.941650390625,294.98760986328125,-1.5792381763458252,5.848306189197725
1,LOW_PROGRESS_SAFE,17,-0.0607825443148613,-0.019566042348742485,0.003037378191947937,0.0036591384559869766,1.0,1,2.2351741790771484e-08,-0.44390344619750977,-0.40113216638565063,0.1789105087518692,0.04665670916438103,0.15892530977725983,0,0,0,0,0,0,-556.9465942382812,294.4046325683594,-1.5826603174209595,5.811836608885073
1,LOW_PROGRESS_SAFE,18,-0.07303998619318008,-0.016168585047125816,0.012257441878318787,0.0033974573016166687,1.0,1,2.2351741790771484e-08,-0.43108701705932617,-0.40113216638565063,0.1789105087518692,0.028656821697950363,0.2229158878326416,0,0,0,0,0,0,-556.9534912109375,293.82568359375,-1.5854687690734863,5.7680120642051085
1,LOW_PROGRESS_SAFE,19,-0.07549238950014114,-0.0032768987584859133,0.0024524033069610596,0.012891686288639903,1.0,1,7.450582373280668e-09,-0.41822388768196106,-0.40113216638565063,0.30521252751350403,0.025421997532248497,0.2229158878326416,0,0,0,0,0,0,-556.9619140625,293.2511901855469,-1.586033582687378,5.722716894256361
1,LOW_PROGRESS_SAFE,20,-0.06159290298819542,-0.00427484093233943,0.013899486511945724,0.0009979421738535166,1.0,1,2.2351745343485163e-08,-0.41713765263557434,-0.40113216638565063,0.30521252751350403,0.025421997532248497,0.2229158878326416,0,0,0,0,0,0,-556.9706420898438,292.68084716796875,-1.586765170097351,5.685761112729783
1,LOW_PROGRESS_SAFE,21,-0.06740707159042358,-0.010548679158091545,0.005814168602228165,0.006273838225752115,1.0,1,2.2351745343485163e-08,-0.4152866303920746,-0.40113216638565063,0.30521252751350403,0.025421997532248497,0.2229158878326416,0,0,0,0,0,0,-556.9796752929688,292.1143493652344,-1.5885580778121948,5.645317290951448
1,LOW_PROGRESS_SAFE,22,-0.08954999595880508,-0.0355943962931633,0.0221429243683815,0.025045717135071754,1.0,1,2.980232594040899e-08,-0.430245965719223,-0.40113216638565063,0.30521252751350403,0.025421997532248497,0.2229158878326416,0,0,0,0,0,0,-556.9896240234375,291.5525817871094,-1.5945576429367065,5.591587643708311
1,LOW_PROGRESS_SAFE,23,-0.09103997051715851,-0.02440766990184784,0.001489974558353424,0.01118672639131546,1.0,1,2.980232594040899e-08,-0.4656769037246704,-0.4014888405799866,0.6946722269058228,0.03298988193273544,0.2229158878326416,0,0,0,0,0,0,-557.0028686523438,290.9963073730469,-1.5986319780349731,5.5369635949953215
1,LOW_PROGRESS_SAFE,24,-0.1055264100432396,-0.0346427820622921,0.014486439526081085,0.01023511216044426,1.0,1,2.980232594040899e-08,-0.5325771570205688,-0.40805584192276,0.6946722269058228,0.045251037925481796,0.17041869461536407,0,0,0,0,0,0,-557.0181884765625,290.4460144042969,-1.6043535470962524,5.473647884906815
1,LOW_PROGRESS_SAFE,25,-0.11052673310041428,-0.013309838250279427,0.005000323057174683,0.021332943812012672,1.0,1,4.4703490686970326e-08,-0.5939089059829712,-0.4142080247402191,0.6946722269058228,0.04573192819952965,0.17041869461536407,0,0,0,0,0,0,-557.0364379882812,289.90228271484375,-1.6065258979797363,5.407331735262714
1,LOW_PROGRESS_SAFE,26,-0.10998121649026871,0.04160580784082413,0.0005455166101455688,0.054915646091103554,1.0,1,4.4703490686970326e-08,-0.6301190257072449,-0.4152866303920746,0.6946722269058228,0.04573192819952965,0.3587966859340668,0,0,0,0,0,0,-557.0556030273438,289.3652038574219,-1.5998177528381348,5.341343359076009
1,LOW_PROGRESS_SAFE,27,-0.11305791884660721,-0.0020474912598729134,0.003076702356338501,0.04365329910069704,1.0,1,4.4703490686970326e-08,-0.6592137217521667,-0.430245965719223,0.6946722269058228,0.04573192819952965,0.3587966859340668,0,0,0,0,0,0,-557.0709838867188,288.8346862792969,-1.6001437902450562,5.273508653990031
1,LOW_PROGRESS_SAFE,28,-0.08344715088605881,0.037102993577718735,0.0296107679605484,0.03915048483759165,1.0,1,4.4703490686970326e-08,-0.6592137217521667,-0.4656769037246704,0.6946722269058228,0.04573192819952965,0.3587966859340668,0,0,0,0,0,0,-557.08642578125,288.31005859375,-1.5943018198013306,5.223440191199176
1,LOW_PROGRESS_SAFE,29,-0.12219845503568649,0.11091789603233337,0.038751304149627686,0.07381490245461464,1.0,1,4.4703490686970326e-08,-0.6592137217521667,-0.5325771570205688,0.6663422584533691,0.06448183953762054,0.3895939290523529,0,0,0,0,0,0,-557.0986328125,287.7915344238281,-1.577042579650879,5.150121066765789
1,LOW_PROGRESS_SAFE,30,-0.11605587601661682,0.024750880897045135,0.006142579019069672,0.08616701513528824,1.0,1,4.4703490686970326e-08,-0.6592137217521667,-0.5939089059829712,0.4838506579399109,0.07624731957912445,0.3895939290523529,0,0,0,0,0,0,-557.1018676757812,287.2799987792969,-1.573244333267212,5.080487692331268
1,LOW_PROGRESS_SAFE,31,-0.09610328078269958,-0.026016492396593094,0.019952595233917236,0.05076737329363823,1.0,1,4.470348713425665e-08,-0.6592137217521667,-0.6301190257072449,0.4377679228782654,0.07624731957912445,0.47184494137763977,0,0,0,0,0,0,-557.1030883789062,286.7748107910156,-1.577187180519104,5.0228257712683595
1,LOW_PROGRESS_SAFE,32,-0.07229617238044739,-0.054110657423734665,0.023807108402252197,0.02809416502714157,1.0,1,3.725290298461914e-08,-0.6592137217521667,-0.6152780055999756,1.026427149772644,0.07624731957912445,0.8356427550315857,0,0,0,0,0,0,-557.1063232421875,286.27471923828125,-1.5853055715560913,4.979447920574838
1,LOW_PROGRESS_SAFE,33,-0.06768613308668137,-0.07854051887989044,0.004610039293766022,0.024429861456155777,1.0,1,3.725290298461914e-08,-0.6450974941253662,-0.5236070156097412,1.0331741571426392,0.07624731957912445,0.8356427550315857,0,0,0,0,0,0,-557.113525390625,285.77886962890625,-1.5969903469085693,4.938836132084332
1,LOW_PROGRESS_SAFE,34,-0.06051180884242058,-0.0922064483165741,0.007174324244260788,0.013665929436683655,1.0,1,3.725290298461914e-08,-0.6450974941253662,-0.43990495800971985,1.0331741571426392,0.09451881051063538,0.8356427550315857,0,0,0,0,0,0,-557.1264038085938,285.2869567871094,-1.6106019020080566,4.9025293539480215
1,LOW_PROGRESS_SAFE,35,-0.07808101177215576,-0.05465308204293251,0.017569202929735184,0.037553366273641586,1.0,1,2.980232594040899e-08,-0.6450974941253662,-0.411206990480423,1.0331741571426392,0.10812583565711975,0.8356427550315857,0,0,0,0,0,0,-557.1458129882812,284.7994384765625,-1.618601679801941,4.8556803552100085
1,LOW_PROGRESS_SAFE,36,-0.08170820027589798,-0.11052054911851883,0.003627188503742218,0.05586746707558632,1.0,1,7.4505820180093e-08,-0.6443164348602295,-0.411206990480423,1.0331741571426392,0.12024083733558655,0.8356427550315857,0,0,0,0,0,0,-557.1688842773438,284.3168640136719,-1.634619951248169,4.806655325639151
1,LOW_PROGRESS_SAFE,37,-0.06254193931818008,-0.11480367183685303,0.019166260957717896,0.004283122718334198,1.0,1,7.4505820180093e-08,-0.6152780055999756,-0.411206990480423,1.0331741571426392,0.1322580873966217,0.8356427550315857,0,0,0,0,0,0,-557.1994018554688,283.83905029296875,-1.6511099338531494,4.76913031174606
1,LOW_PROGRESS_SAFE,38,-0.10689051449298859,-0.1206154003739357,0.0443485751748085,0.005811728537082672,1.0,1,7.4505820180093e-08,-0.5236070156097412,-0.411206990480423,1.0331741571426392,0.1478068083524704,0.502001941204071,0,0,0,0,0,0,-557.2374267578125,283.36688232421875,-1.6682507991790771,4.704995948157804
1,LOW_PROGRESS_SAFE,39,-0.041716162115335464,-0.14745311439037323,0.06517435237765312,0.02683771401643753,1.0,1,1.788139485370266e-07,-0.4816158413887024,-0.411206990480423,0.6495971083641052,0.17444531619548798,0.3271793723106384,0,0,0,0,0,0,-557.2830810546875,282.8998718261719,-1.6890084743499756,4.67996613002066
1,LOW_PROGRESS_SAFE,40,-0.03862454369664192,-0.16112811863422394,0.0030916184186935425,0.013675004243850708,1.0,1,2.0861628513557662e-07,-0.4816158413887024,-0.3888891637325287,0.9685898423194885,0.19180862605571747,0.2678905129432678,0,0,0,0,0,0,-557.338134765625,282.4363098144531,-1.711574673652649,4.6567917939971695
1,LOW_PROGRESS_SAFE,41,-0.050552502274513245,-0.20219695568084717,0.011927958577871323,0.04106883704662323,1.0,1,2.0861628513557662e-07,-0.4816158413887024,-0.33354267477989197,0.9922302961349487,0.22056525945663452,0.34052303433418274,0,0,0,0,0,0,-557.4033203125,281.97674560546875,-1.7397303581237793,4.626460024902777
