scenario_index,group,reference_step,reference_seconds,lead_s,frame,time_from_start_s,ego_width,nearest_any,road_clearance,nearest_boundary,boundary_clearance,nearest_median,median_clearance,left_distance,right_distance,min_side_distance,min_side_clearance,num_edge_points,dir30_count,dir30_left_point,dir30_right_point,dir30_point_clearance,dir30_left_line,dir30_right_line,dir30_line_clearance,dir45_count,dir45_left_point,dir45_right_point,dir45_point_clearance,dir45_left_line,dir45_right_line,dir45_line_clearance
0,SAFE,77,7.7,3.0,47,4.7,2.4900002479553223,2.5932489192634565,1.3482487952857953,2.5932489192634565,1.3482487952857953,2.5932489192634565,1.3482487952857953,8.452239990234375,2.4737548828125,2.4737548828125,1.2287547588348389,129,35,8.452239990234375,2.4737548828125,1.2287547588348389,8.522087320506511,2.547284753701801,1.3022846297241397,35,8.452239990234375,2.4737548828125,1.2287547588348389,8.522087320506511,2.547284753701801,1.3022846297241397
0,SAFE,77,7.7,2.0,57,5.7,2.4900002479553223,3.600558797383793,2.355558673406132,3.600558797383793,2.355558673406132,3.600558797383793,2.355558673406132,6.99127197265625,3.292999267578125,3.292999267578125,2.047999143600464,162,41,6.99127197265625,3.292999267578125,2.047999143600464,8.098160884771753,3.5898706983803224,2.3448705744026612,41,6.99127197265625,3.292999267578125,2.047999143600464,8.098160884771753,3.5898706983803224,2.3448705744026612
0,SAFE,77,7.7,1.0,67,6.7,2.4900002479553223,4.94137696353617,3.696376839558509,4.94137696353617,3.696376839558509,4.94137696353617,3.696376839558509,7.029998779296875,4.848876953125,4.848876953125,3.603876829147339,163,46,7.029998779296875,4.848876953125,3.603876829147339,7.244829199478575,4.918997549182677,3.673997425205016,46,7.029998779296875,4.848876953125,3.603876829147339,7.244829199478575,4.918997549182677,3.673997425205016
0,SAFE,77,7.7,0.5,72,7.2,2.4900002479553223,5.271153654912496,4.026153530934835,5.271153654912496,4.026153530934835,5.271153654912496,4.026153530934835,7.03875732421875,5.072052001953125,5.072052001953125,3.827051877975464,161,49,7.03875732421875,5.072052001953125,3.827051877975464,7.178022572853026,5.242935295840566,3.9979351718629053,49,7.03875732421875,5.072052001953125,3.827051877975464,7.178022572853026,5.242935295840566,3.9979351718629053
93,FIXED_OFFROAD,38,3.8000000000000003,3.0,8,0.8,2.0380001068115234,2.972984966567527,1.9539849131617655,2.972984966567527,1.9539849131617655,2.972984966567527,1.9539849131617655,3.0741958618164062,2.5891799926757812,2.5891799926757812,1.5701799392700195,109,41,3.0741958618164062,2.5891799926757812,1.5701799392700195,4.3308973177657,2.950346153577978,1.9313461001722163,41,3.0741958618164062,2.5891799926757812,1.5701799392700195,4.3308973177657,2.950346153577978,1.9313461001722163
93,FIXED_OFFROAD,38,3.8000000000000003,2.0,18,1.8,2.0380001068115234,3.384011388881347,2.365011335475585,3.384011388881347,2.365011335475585,3.384011388881347,2.365011335475585,4.240631103515625,2.77911376953125,2.77911376953125,1.7601137161254883,96,39,4.240631103515625,2.77911376953125,1.7601137161254883,4.227309553946362,3.3839572369704674,2.3649571835647056,39,4.240631103515625,2.77911376953125,1.7601137161254883,4.227309553946362,3.3839572369704674,2.3649571835647056
93,FIXED_OFFROAD,38,3.8000000000000003,1.0,28,2.8000000000000003,2.0380001068115234,2.8091098201178863,1.7901097667121246,2.8091098201178863,1.7901097667121246,2.8091098201178863,1.7901097667121246,4.460235595703125,2.172332763671875,2.172332763671875,1.1533327102661133,78,32,4.460235595703125,2.172332763671875,1.1533327102661133,4.974518022781936,2.787700035616799,1.7686999822110372,32,4.460235595703125,2.172332763671875,1.1533327102661133,4.974518022781936,2.787700035616799,1.7686999822110372
93,FIXED_OFFROAD,38,3.8000000000000003,0.5,33,3.3000000000000003,2.0380001068115234,2.3639173873176573,1.3449173339118956,2.3639173873176573,1.3449173339118956,2.3639173873176573,1.3449173339118956,4.901824951171875,2.169189453125,2.169189453125,1.1501893997192383,70,28,4.901824951171875,2.169189453125,1.1501893997192383,5.429047354442941,2.3572929846965742,1.3382929312908125,28,4.901824951171875,2.169189453125,1.1501893997192383,5.429047354442941,2.3572929846965742,1.3382929312908125
107,SAFE,55,5.5,3.0,25,2.5,1.8900001049041748,16.103937681050443,15.158937628598355,16.103937681050443,15.158937628598355,16.103937681050443,15.158937628598355,19.197296142578125,,19.197296142578125,18.252296090126038,3,2,19.197296142578125,,18.252296090126038,18.571153029602694,,17.626152977150607,2,19.197296142578125,,18.252296090126038,18.571153029602694,,17.626152977150607
107,SAFE,55,5.5,2.0,35,3.5,1.8900001049041748,16.075263707998207,15.13026365554612,16.075263707998207,15.13026365554612,16.075263707998207,15.13026365554612,19.1973876953125,,19.1973876953125,18.252387642860413,3,2,19.1973876953125,,18.252387642860413,18.553855169330173,,17.608855116878086,2,19.1973876953125,,18.252387642860413,18.553855169330173,,17.608855116878086
107,SAFE,55,5.5,1.0,45,4.5,1.8900001049041748,16.053738504314534,15.108738451862447,16.053738504314534,15.108738451862447,16.053738504314534,15.108738451862447,19.197357177734375,,19.197357177734375,18.252357125282288,3,2,19.197357177734375,,18.252357125282288,18.540643380112773,,17.595643327660685,2,19.197357177734375,,18.252357125282288,18.540643380112773,,17.595643327660685
107,SAFE,55,5.5,0.5,50,5.0,1.8900001049041748,16.0490278029012,15.104027750449113,16.0490278029012,15.104027750449113,16.0490278029012,15.104027750449113,19.197296142578125,,19.197296142578125,18.252296090126038,3,2,19.197296142578125,,18.252296090126038,18.537728356099013,,17.592728303646926,2,19.197296142578125,,18.252296090126038,18.537728356099013,,17.592728303646926
210,SAFE,46,4.6000000000000005,3.0,16,1.6,2.0380001068115234,5.415250666678697,4.396250613272935,5.415250666678697,4.396250613272935,5.415250666678697,4.396250613272935,5.111236572265625,5.86865234375,5.111236572265625,4.092236518859863,165,40,5.111236572265625,5.86865234375,4.092236518859863,5.411905276595915,5.918197185245246,4.392905223190153,40,5.111236572265625,5.86865234375,4.092236518859863,5.411905276595915,5.918197185245246,4.392905223190153
210,SAFE,46,4.6000000000000005,2.0,26,2.6,2.0380001068115234,5.511910085922395,4.492910032516633,5.511910085922395,4.492910032516633,5.511910085922395,4.492910032516633,5.2012939453125,5.08038330078125,5.08038330078125,4.061383247375488,138,43,5.2012939453125,5.08038330078125,4.061383247375488,5.4522411623270575,5.85745987263344,4.433241108921296,43,5.2012939453125,5.08038330078125,4.061383247375488,5.4522411623270575,5.85745987263344,4.433241108921296
210,SAFE,46,4.6000000000000005,1.0,36,3.6,2.0380001068115234,5.611724697669986,4.592724644264225,5.611724697669986,4.592724644264225,5.611724697669986,4.592724644264225,5.550567626953125,5.4598388671875,5.4598388671875,4.440838813781738,166,47,5.550567626953125,5.4598388671875,4.440838813781738,5.600700922054869,5.213562542027026,4.194562488621265,47,5.550567626953125,5.4598388671875,4.440838813781738,5.600700922054869,5.213562542027026,4.194562488621265
210,SAFE,46,4.6000000000000005,0.5,41,4.1000000000000005,2.0380001068115234,5.622371790923367,4.603371737517605,5.622371790923367,4.603371737517605,5.622371790923367,4.603371737517605,5.601898193359375,5.54248046875,5.54248046875,4.523480415344238,168,47,5.601898193359375,5.54248046875,4.523480415344238,5.614673688124953,5.262149585590669,4.2431495321849075,47,5.601898193359375,5.54248046875,4.523480415344238,5.614673688124953,5.262149585590669,4.2431495321849075
302,SAFE,51,5.1000000000000005,3.0,21,2.1,2.4900002479553223,1.9796862921130636,0.7346861681354024,1.9796862921130636,0.7346861681354024,1.9796862921130636,0.7346861681354024,,1.9587059020996094,1.9587059020996094,0.7137057781219482,32,16,,1.9587059020996094,0.7137057781219482,,1.9604502419206837,0.7154501179430226,16,,1.9587059020996094,0.7137057781219482,,1.9604502419206837,0.7154501179430226
302,SAFE,51,5.1000000000000005,2.0,31,3.1,2.4900002479553223,1.976690679552774,0.731690555575113,1.976690679552774,0.731690555575113,1.976690679552774,0.731690555575113,,1.9579849243164062,1.9579849243164062,0.7129848003387451,32,16,,1.9579849243164062,0.7129848003387451,,1.9604086437657053,0.7154085197880442,16,,1.9579849243164062,0.7129848003387451,,1.9604086437657053,0.7154085197880442
