checkpoint,rideflux_aggregate_score,progress_ratio,comfort,at_fault_collision,overlap,offroad_in_box,accuracy
model_19714560,0.85483,0.86745,0.95897,0.03125,0.05208,0.00000,0.94792
model_19970560,0.91315,0.94407,0.96192,0.03776,0.04557,0.00130,0.95312
model_20226560,0.88069,0.90164,0.94201,0.03646,0.04688,0.00130,0.95182
model_20482560,0.86892,0.88967,0.94778,0.03646,0.04948,0.00130,0.94922
model_20738560,0.83119,0.84531,0.94161,0.03906,0.05469,0.00130,0.94401
model_20994560,0.85094,0.87440,0.95738,0.04036,0.05859,0.00391,0.93750
model_21250560,0.89190,0.91080,0.95701,0.03255,0.04297,0.00000,0.95703
model_21506560,0.88473,0.90821,0.95008,0.03255,0.04297,0.00260,0.95443
model_21762560,0.88122,0.90255,0.95765,0.03516,0.04818,0.00260,0.94922
model_22018560,0.87988,0.91049,0.94457,0.04036,0.05339,0.00130,0.94531
model_22274560,0.85035,0.86810,0.94139,0.03385,0.05208,0.00000,0.94792
model_22530560,0.89027,0.91772,0.95345,0.03385,0.04818,0.00000,0.95182
model_22786560,0.88808,0.92568,0.91098,0.03255,0.04427,0.00000,0.95573
model_23042560,0.88933,0.92041,0.92869,0.03646,0.04557,0.00000,0.95443
model_23298560,0.81658,0.82089,0.94318,0.03516,0.05469,0.00000,0.94531
model_23554560,0.90570,0.92653,0.97199,0.03646,0.04427,0.00000,0.95573
model_23810560,0.87271,0.89294,0.93746,0.03385,0.04557,0.00000,0.95443
model_24066560,0.82007,0.82451,0.96479,0.03646,0.05990,0.00000,0.94010
model_24322560,0.83391,0.85456,0.92955,0.03646,0.05729,0.00130,0.94141
model_24578560,0.80172,0.80456,0.95644,0.04427,0.06250,0.00130,0.93620
model_24834560,0.87789,0.90165,0.94705,0.03385,0.04557,0.00260,0.95182
model_final,0.85840,0.88715,0.93015,0.04036,0.05599,0.00130,0.94271
