scenario_index,lead_s,object_index,object_rank,is_collider,distance,ego_speed,object_speed,relative_speed,closing_speed,relative_heading_rad,relative_heading_deg,tcpa_raw,tcpa_clipped,dcpa,predicted_clearance,approaching,interaction_risk
245,2.0,8,3.0,1,3.5279494052883558,0.5002062320709229,0.0,0.5002062320709229,0.4651509358340492,0.5158519744873047,29.55614099161278,6.5587042932938076,5.0,1.5137021493307887,-1.5165578126907349,0,0.0
245,2.0,1,1.0,0,2.624742115110019,0.5002062320709229,0.0,0.5002062320709229,0.18870666208308318,0.00594782829284668,0.3407854584486162,1.979591935326215,1.979591935326215,2.430795500977058,-2.393045425415039,1,0.06333305572678126
245,2.0,4,2.0,0,2.7533751990251596,0.5002062320709229,0.0,0.5002062320709229,0.23076969087854687,0.06340861320495605,3.6330459214214823,2.5394868476456525,2.5394868476456525,2.4428459551729107,-2.7139956951141357,1,0.0651986292962346
245,2.0,10,4.0,0,4.83136746134531,0.5002062320709229,0.0,0.5002062320709229,-0.42565667309014893,0.0009472370147705078,0.05427268314492132,-8.219233523774133,0.0,4.83136746134531,-0.07614541053771973,0,0.0
245,2.0,11,5.0,0,5.040505525781413,0.5002062320709229,0.0,0.5002062320709229,-0.437930554497987,0.061158180236816406,3.5041056102699817,-8.822286265049456,0.0,5.040505525781413,0.07192492485046387,0,0.0
245,2.0,12,6.0,0,5.088636272746147,0.5002062320709229,0.0,0.5002062320709229,0.060744575899018806,0.006892681121826172,0.3949215378101373,1.2354088752701842,1.2354088752701842,5.050974709944334,-0.1283581256866455,1,0.027173809932948788
245,2.0,13,7.0,0,5.2731319248003485,0.5002062320709229,0.0,0.5002062320709229,0.14373867455230666,3.113388776779175,178.38403689284468,3.0293124935181384,3.0293124935181384,5.050727058880296,0.10084891319274902,1,0.032405219488711924
245,2.0,14,8.0,0,6.792457447529897,0.5002062320709229,0.0,0.5002062320709229,-0.3294170057625582,0.015241622924804688,0.8732806665211503,-8.942825265628757,0.0,6.792457447529897,1.576127290725708,0,0.0
245,2.0,15,9.0,0,7.323307975662265,0.5002062320709229,0.0,0.5002062320709229,-0.37008721016632756,0.034340858459472656,1.9675862545839131,-10.832112912461746,0.0,7.323307975662265,2.1849913597106934,0,0.0
245,2.0,16,10.0,0,7.636145662002315,0.5002062320709229,0.0,0.5002062320709229,0.03850076418462951,0.023542642593383793,1.3488940591858183,1.1750202662950706,1.1750202662950706,7.613492471728626,2.4578018188476562,1,0.005119245336704324
245,2.0,17,11.0,0,8.910507974587382,0.5002062320709229,0.0,0.5002062320709229,-0.2804566868589794,0.01874566078186035,1.074047246984505,-9.987805256892724,0.0,8.910507974587382,3.838408946990967,0,0.0
245,2.0,18,12.0,0,9.949042081106795,0.5002062320709229,0.0,0.5002062320709229,0.04973846692621157,0.03160834312438965,1.811024658428881,1.9777685483092005,1.9777685483092005,9.899734307886247,4.705239295959473,1,0.0029277068689859704
