scenario_index,group,reference_step,reference_seconds_v27,lead_s,frame,time_from_start_s_v27,expected_episode_length_v27,actual_episode_length_v27,action_accel_v27,action_steer_v27,abs_steer_v27,brake_strength_v27,throttle_strength_v27,delta_accel_v27,delta_steer_v27,abs_delta_accel_v27,abs_delta_steer_v27,risk_object_index_v27,risk_distance_v27,risk_static_clearance_v27,risk_predicted_clearance_v27,risk_dcpa_v27,risk_tcpa_raw_v27,risk_tcpa_clipped_v27,risk_future_tcpa_v27,risk_approaching_v27,risk_closing_speed_v27,second_object_index_v27,second_distance_v27,second_static_clearance_v27,second_predicted_clearance_v27,second_dcpa_v27,second_future_tcpa_v27,second_approaching_v27,top2_mean_predicted_clearance_v27,second_minus_first_pred_gap_v27,num_pred_conflict_0_v27,num_pred_conflict_1_v27,num_pred_conflict_2_v27,min_future_tcpa_conflict_0_v27,min_future_tcpa_conflict_1_v27,min_future_tcpa_conflict_2_v27,reference_seconds_v28,time_from_start_s_v28,expected_episode_length_v28,actual_episode_length_v28,action_accel_v28,action_steer_v28,abs_steer_v28,brake_strength_v28,throttle_strength_v28,delta_accel_v28,delta_steer_v28,abs_delta_accel_v28,abs_delta_steer_v28,risk_object_index_v28,risk_distance_v28,risk_static_clearance_v28,risk_predicted_clearance_v28,risk_dcpa_v28,risk_tcpa_raw_v28,risk_tcpa_clipped_v28,risk_future_tcpa_v28,risk_approaching_v28,risk_closing_speed_v28,second_object_index_v28,second_distance_v28,second_static_clearance_v28,second_predicted_clearance_v28,second_dcpa_v28,second_future_tcpa_v28,second_approaching_v28,top2_mean_predicted_clearance_v28,second_minus_first_pred_gap_v28,num_pred_conflict_0_v28,num_pred_conflict_1_v28,num_pred_conflict_2_v28,min_future_tcpa_conflict_0_v28,min_future_tcpa_conflict_1_v28,min_future_tcpa_conflict_2_v28,delta_action_accel,delta_action_steer,delta_abs_steer,delta_delta_accel,delta_delta_steer,delta_abs_delta_accel,delta_abs_delta_steer,delta_brake_strength,delta_throttle_strength,delta_risk_static_clearance,delta_risk_predicted_clearance,delta_risk_future_tcpa,delta_risk_tcpa_clipped,delta_risk_closing_speed,delta_risk_approaching,delta_second_predicted_clearance,delta_top2_mean_predicted_clearance
24,EARLY_COLLISION,24,2.4000000000000004,2.0,4,0.4,80,80,-0.0186847224831581,-0.1461865603923797,0.1461865603923797,0.0186847224831581,0.0,-0.0051106959581375,-0.031672865152359,0.0051106959581375,0.031672865152359,15,52.21015453525705,39.85065005920056,-7.271975243620115,5.087529232436379,2.6784663947995537,2.6784663947995537,2.6784663947995537,1,19.30746977038108,4,4.497818102052251,-5.49800832610942,-5.49800832610942,4.497818102052251,5.0,0,-6.384991784864767,1.773966917510695,3,4,4,1.7366910732004075,1.7366910732004075,1.7366910732004075,2.4000000000000004,0.4,24,24,-0.0899436026811599,-0.0423720590770244,0.0423720590770244,0.0899436026811599,0.0,-0.0027378275990486,0.0405683852732181,0.0027378275990486,0.0405683852732181,15,52.19864728281942,39.83914280676293,-8.239457330510891,4.120047145545601,2.698282040881507,2.698282040881507,2.698282040881507,1,19.22462164848499,4,4.285346804148897,-5.710479624012773,-5.710479624012773,4.285346804148897,5.0,0,-6.974968477261832,2.528977706498118,4,4,4,1.7401454839475212,1.7401454839475212,1.7401454839475212,-0.0712588801980018,0.1038145013153553,-0.1038145013153553,0.0023728683590889,0.07224125042557711,-0.0023728683590889,0.008895520120859098,0.0712588801980018,0.0,-0.011507252437631621,-0.9674820868907767,0.019815646081953187,0.019815646081953187,-0.08284812189608814,0,-0.2124712979033534,-0.5899766923970651
24,EARLY_COLLISION,24,2.4000000000000004,1.0,14,1.4,80,80,-0.0523825921118259,0.1198943182826042,0.1198943182826042,0.0523825921118259,0.0,-0.0161586068570613,-0.0011628717184066,0.0161586068570613,0.0011628717184066,15,32.6635914360062,20.304086959949707,-6.2879308267124445,6.071573649344049,1.6569239372816351,1.6569239372816351,1.6569239372816351,1,19.03225276875794,14,32.062552403535925,18.803738594934813,4.01263420401987,17.27144801262098,0.6909855731479082,1,-1.1376483113462874,10.300565030732317,1,1,1,1.6569239372816351,1.6569239372816351,1.6569239372816351,2.4000000000000004,1.4,24,24,-0.0862706154584884,0.0409034714102745,0.0409034714102745,0.0862706154584884,0.0,-0.0031838566064834,0.0238487143069505,0.0031838566064834,0.0238487143069505,15,32.59237447298728,20.232869996930788,-10.076088245157534,2.2834162308989594,1.7083616531529666,1.7083616531529666,1.7083616531529666,1,18.98450404751888,14,31.243150847402426,17.984337038801314,1.433532892864534,14.692346701465643,0.7100180936187803,1,-4.3212776761465,11.509621138022068,1,1,2,1.7083616531529666,1.7083616531529666,0.7100180936187803,-0.033888023346662494,-0.07899084687232971,-0.07899084687232971,0.012974750250577899,0.0250115860253571,-0.012974750250577899,0.0226858425885439,0.033888023346662494,0.0,-0.07121696301891944,-3.7881574184450892,0.0514377158713315,0.0514377158713315,-0.04774872123905993,0,-2.579101311155336,-3.1836293648002125
24,EARLY_COLLISION,24,2.4000000000000004,0.5,19,1.9,80,80,0.0416436903178691,0.1836327314376831,0.1836327314376831,0.0,0.0416436903178691,0.0227286256849765,0.03119358420372,0.0227286256849765,0.03119358420372,15,22.576685030682768,10.217180554626276,-10.242109137927104,2.117395338129389,1.1477654324328854,1.1477654324328854,1.1477654324328854,1,19.497103360684807,5,38.61891122901405,25.829734302736615,-8.491010616940502,4.298166309336933,5.0,0,-9.366559877433804,1.751098520986602,2,2,3,1.1477654324328854,1.1477654324328854,0.2822018863075871,2.4000000000000004,1.9,24,24,-0.0128822401165962,0.0562188401818275,0.0562188401818275,0.0128822401165962,0.0,0.0403645858168602,0.0207209736108779,0.0403645858168602,0.0207209736108779,15,22.672655629866867,10.313151153810374,-12.292426945587389,0.067077530469106,1.1933483122031736,1.1933483122031736,1.1933483122031736,1,18.99902731476472,5,38.24145799794386,25.452281071666427,-2.131740061142384,10.65743686513505,4.831600322972688,1,-7.212083503364886,10.160686884445004,2,3,3,1.1933483122031736,0.2561605551765138,0.2561605551765138,-0.054525930434465304,-0.12741389125585562,-0.12741389125585562,0.017635960131883698,-0.010472610592842099,0.017635960131883698,-0.010472610592842099,0.0128822401165962,-0.0416436903178691,0.09597059918409734,-2.050317807660285,0.04558287977028819,0.04558287977028819,-0.4980760459200866,0,6.359270555798117,2.154476374068919
1124,LATE_COLLISION,76,7.6,3.0,46,4.6000000000000005,80,80,-0.0978419333696365,0.2667495310306549,0.2667495310306549,0.0978419333696365,0.0,-0.0005242526531219,-0.0007596015930175,0.0005242526531219,0.0007596015930175,2,3.045290620606821,-2.117525966860752,-2.117525966860752,3.045290620606821,-48.08347764137199,0.0,5.0,0,-0.0220681055650958,4,3.1175322019394494,-2.083572467017984,-2.083572467017984,3.1175322019394494,5.0,0,-2.100549216939368,0.0339534998427679,2,5,5,5.0,4.311571476799811,4.311571476799811,7.6,4.6000000000000005,76,76,-0.0333568975329399,0.0169562231749296,0.0169562231749296,0.0333568975329399,0.0,-0.0011231116950511,0.0008966047316789,0.0011231116950511,0.0008966047316789,2,2.5974716608531905,-2.565344926614383,-2.565344926614383,2.5974716608531905,-404.5319606872111,0.0,5.0,0,-0.0006818424618368,4,2.7990328733165253,-2.402071795640908,-2.402071795640908,2.7990328733165253,5.0,0,-2.4837083611276456,0.1632731309734749,4,5,5,4.104200717265243,4.104200717265243,4.104200717265243,0.0644850358366966,-0.24979330785572532,-0.24979330785572532,-0.0005988590419292,0.0016562063246963999,0.0005988590419292,0.0001370031386614001,-0.0644850358366966,0.0,-0.44781895975363106,-0.44781895975363106,0.0,0.0,0.021386263103259,0,-0.31849932862292407,-0.3831591441882778
1124,LATE_COLLISION,76,7.6,2.0,56,5.6000000000000005,80,80,-0.1501517742872238,0.2667797207832336,0.2667797207832336,0.1501517742872238,0.0,-0.0118738263845443,-0.0002205967903137,0.0118738263845443,0.0002205967903137,2,3.0621649238899904,-2.100651663577583,-2.100651663577583,3.0621649238899904,-35.12018846572492,0.0,5.0,0,-0.0310947671240995,4,3.133914591937002,-2.0671900770204314,-2.0671900770204314,3.133914591937002,5.0,0,-2.083920870299007,0.0334615865571517,2,5,5,5.0,3.465603632982712,3.465603632982712,7.6,5.6000000000000005,76,76,-0.0529642887413501,0.032771036028862,0.032771036028862,0.0529642887413501,0.0,0.0021675191819667,0.0048884712159633,0.0021675191819667,0.0048884712159633,2,2.5924741532751074,-2.570342434192466,-2.570342434192466,2.5924741532751074,-96.64720693777544,0.0,5.0,0,-0.0027918220899782,4,2.790264824828336,-2.410839844129097,-2.410839844129097,2.790264824828336,5.0,0,-2.490591139160782,0.1595025900633686,4,5,5,3.2715643379163226,3.2715643379163226,3.2715643379163226,0.0971874855458737,-0.2340086847543716,-0.2340086847543716,0.014041345566511,0.005109068006277,-0.0097063072025776,0.0046678744256496004,-0.0971874855458737,0.0,-0.46969077061488296,-0.46969077061488296,0.0,0.0,0.0283029450341213,0,-0.34364976710866557,-0.4066702688617747
1124,LATE_COLLISION,76,7.6,1.0,66,6.6000000000000005,80,80,-0.194256916642189,0.1501529216766357,0.1501529216766357,0.194256916642189,0.0,-0.0089609175920486,-0.0063335597515106,0.0089609175920486,0.0063335597515106,4,3.196918352756965,-2.0041863162004683,-2.0041863162004683,3.196918352756965,-30.217931398264053,0.0,5.0,0,-0.0278522841764857,5,5.38692729289008,0.1675611336687126,0.1675611336687126,5.38692729289008,5.0,0,-0.9183125912658778,2.171747449869181,1,4,4,5.0,2.698503489663026,2.698503489663026,7.6,6.6000000000000005,76,76,-0.0873458608984947,0.029343819245696,0.029343819245696,0.0873458608984947,0.0,-0.0038542449474334,-0.0004357378929853,0.0038542449474334,0.0004357378929853,4,2.803947481934783,-2.3971571870226502,-2.3971571870226502,2.803947481934783,-42.19625601728672,0.0,5.0,0,-0.0027308343827243,1,4.037066618144372,0.931096173913283,-0.775944414417701,2.3300260298133884,2.4579937709526627,1,-1.5865508007201756,1.6212127726049492,3,4,4,2.4579937709526627,2.4579937709526627,2.4579937709526627,0.10691105574369429,-0.12080910243093969,-0.12080910243093969,0.005106672644615199,0.0058978218585253005,-0.005106672644615199,-0.0058978218585253005,-0.10691105574369429,0.0,-0.39297087082218196,-0.39297087082218196,0.0,0.0,0.0251214497937614,0,-0.9435055480864136,-0.6682382094542978
1124,LATE_COLLISION,76,7.6,0.5,71,7.1000000000000005,80,80,-0.2295258194208145,0.1350206136703491,0.1350206136703491,0.2295258194208145,0.0,-0.0041246712207794,-0.001032069325447,0.0041246712207794,0.001032069325447,4,3.2303010581058293,-1.970803610851604,-1.970803610851604,3.2303010581058293,-23.84578221208635,0.0,5.0,0,-0.0370274554804485,1,4.513276885514067,1.4073064412829774,0.1417994393856267,3.247769883616716,2.4521350536858746,1,-0.9145020857329886,2.112603050237231,1,4,4,5.0,2.4521350536858746,2.4521350536858746,7.6,7.1000000000000005,76,76,-0.107445441186428,0.0180124454200267,0.0180124454200267,0.107445441186428,0.0,-0.0034829303622245,-0.0033481679856777,0.0034829303622245,0.0033481679856777,4,2.8160157038709417,-2.385088965086492,-2.385088965086492,2.8160157038709417,-13.040041539005063,0.0,5.0,0,-0.0092194571794692,1,3.5168135541236274,0.410843109892538,-0.9335677149254008,2.1724027293056887,2.1473148255152745,1,-1.6593283400059462,1.451521250161091,3,4,4,2.1473148255152745,2.1473148255152745,2.1473148255152745,0.12208037823438649,-0.1170081682503224,-0.1170081682503224,0.0006417408585548999,-0.0023160986602307,-0.0006417408585548999,0.0023160986602307,-0.12208037823438649,0.0,-0.4142853542348881,-0.4142853542348881,0.0,0.0,0.0278079983009793,0,-1.0753671543110275,-0.7448262542729576
1237,LATE_COLLISION,37,3.7,3.0,7,0.7000000000000001,80,80,0.1069617122411727,0.0547893121838569,0.0547893121838569,0.0,0.1069617122411727,-0.0190881937742233,0.0034378953278064,0.0190881937742233,0.0034378953278064,2,2.913001561517441,-2.2144348461662497,-2.2144348461662497,2.913001561517441,-0.7597183286882461,0.0,5.0,0,-0.8713001256886903,3,3.168362567438157,-1.956412887312018,-1.956412887312018,3.168362567438157,5.0,0,-2.085423866739134,0.2580219588542318,4,6,6,1.385046087021366,1.385046087021366,1.385046087021366,3.7,0.7000000000000001,37,37,0.079698659479618,-0.0069309179671108,0.0069309179671108,0.0,0.079698659479618,-0.0134588629007339,0.0026736953295767,0.0134588629007339,0.0026736953295767,2,2.84850259538184,-2.278933812301851,-2.278933812301851,2.84850259538184,-0.894399130105,0.0,5.0,0,-0.6563735423097625,3,3.0877219414345443,-2.0370535133156307,-2.0370535133156307,3.0877219414345443,5.0,0,-2.1579936628087406,0.2418802989862203,4,6,6,1.5888482188806412,1.5888482188806412,1.5888482188806412,-0.02726305276155469,-0.061720230150967705,-0.0478583942167461,0.005629330873489401,-0.0007641999982297,-0.005629330873489401,-0.0007641999982297,0.0,-0.02726305276155469,-0.06449896613560124,-0.06449896613560124,0.0,0.0,0.21492658337892778,0,-0.08064062600361277,-0.07256979606960678
1237,LATE_COLLISION,37,3.7,2.0,17,1.7000000000000002,80,80,-0.0267457254230976,0.0438973158597946,0.0438973158597946,0.0267457254230976,0.0,-0.0569919478148222,0.0007252506911754,0.0569919478148222,0.0007252506911754,4,7.991975935436518,2.7090722661107343,-1.0458126086473536,4.23709106067843,3.0880458738831926,3.0880458738831926,3.0880458738831926,1,1.860595813688481,2,4.24279005314064,-0.884646354543051,-0.884646354543051,4.24279005314064,5.0,0,-0.9652294815952024,0.1611662541043026,4,6,7,0.4257775009146212,0.4257775009146212,0.4257775009146212,3.7,1.7000000000000002,37,37,-0.0161339547485113,-0.0061816303059458,0.0061816303059458,0.0161339547485113,0.0,-0.0056577799841761,-0.0019742310978472,0.0056577799841761,0.0019742310978472,2,3.811700982697242,-1.3157354249864488,-1.3157354249864488,3.811700982697242,-1.784240853209212,0.0,5.0,0,-1.2289392214002506,3,3.9249223249877434,-1.1998531297624324,-1.1998531297624324,3.9249223249877434,5.0,0,-1.2577942773744406,0.1158822952240163,4,6,6,0.691661958179292,0.691661958179292,0.691661958179292,0.0106117706745863,-0.05007894616574041,-0.0377156855538488,0.051334167830646094,-0.0026994817890226,-0.051334167830646094,0.0012489804066717998,-0.0106117706745863,0.0,-4.024807691097183,-0.2699228163390952,1.9119541261168074,-3.0880458738831926,-3.0895350350887316,-1,-0.31520677521938145,-0.2925647957792382
1237,LATE_COLLISION,37,3.7,1.0,27,2.7,80,80,-0.0416035018861293,0.0575236119329929,0.0575236119329929,0.0416035018861293,0.0,0.033528383821249,-0.0007418952882289,0.033528383821249,0.0007418952882289,4,6.512093666653339,1.2291899973275555,-1.224950748056556,4.057952921269227,3.543893061779004,3.543893061779004,3.543893061779004,1,1.1240227993583334,1,2.076251873097186,-0.8971747553731584,-0.8971747553731584,2.076251873097186,5.0,0,-1.0610627517148572,0.3277759926833976,2,3,5,3.543893061779004,3.543893061779004,3.046347033317632,3.7,2.7,37,37,-0.0995413139462471,-0.0154435327276587,0.0154435327276587,0.0995413139462471,0.0,-0.003759279847145,-0.0019539520144462,0.003759279847145,0.0019539520144462,1,1.5209287493815344,-1.45249787908881,-1.4614801497694243,1.5119464787009202,0.0636214217450351,0.0636214217450351,0.0636214217450351,1,0.2815324391512526,4,7.375831133372055,2.092927464046272,-0.4987850023603979,4.7841186669653855,4.3729369766383455,1,-0.9801325760649112,0.9626951474090264,2,5,6,0.0636214217450351,0.0636214217450351,0.0636214217450351,-0.0579378120601178,-0.0729671446606516,-0.0420800792053342,-0.037287663668394,-0.0012120567262173,-0.029769103974104,0.0012120567262173,0.0579378120601178,0.0,-2.6816878764163654,-0.2365294017128683,-3.4802716400339686,-3.4802716400339686,-0.8424903602070808,0,0.3983897530127605,0.08093017564994598
