scenario_index,v26_rf,v27_rf,delta_rf,v26_progress,v27_progress,delta_progress,v26_comfort,v27_comfort,delta_comfort,v26_collision,v27_collision,v26_overlap,v27_overlap,v26_offroad,v27_offroad,v26_accuracy,v27_accuracy,v26_basepc,v27_basepc,v26_overlap_fail,v27_overlap_fail,v26_offroad_fail,v27_offroad_fail,v26_collision_fail,v27_collision_fail,v26_zero,v27_zero,new_zero,fixed_zero,persistent_zero,new_overlap,fixed_overlap,new_offroad,fixed_offroad,new_collision,fixed_collision,v27_zero_type,v26_episode_length,v27_episode_length,v26_seconds,v27_seconds
14,0.89071554,0.91321546,0.02249992,0.87602216,0.87602216,0.0,0.925,1.0,0.0749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.8907155119999999,0.9132155119999998,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
15,0.89551336,0.89528143,-0.0002319299999999,0.93644756,0.850402,-0.0860455599999999,0.8,1.0,0.1999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.895513292,0.8952814,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
16,0.92261076,0.9570495,0.03443874,0.88944393,0.9386421,0.04919817,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.922610751,0.95704947,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
17,0.92346925,0.92346925,0.0,0.9388847,0.9388847,0.0,0.8875,0.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.92346929,0.92346929,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
18,0.8843697,0.92616236,0.0417926599999999,0.8348138,0.8945177,0.0597038999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.88436966,0.92616239,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
19,0.96250004,0.96250004,0.0,1.0,1.0,0.0,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.9625,0.9625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
20,0.8599753,0.86122,0.0012446999999999,0.79996467,0.8499571,0.0499924299999999,1.0,0.8875,-0.1125,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.859975269,0.86121997,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
21,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
22,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
23,0.92121536,0.92997307,0.0087577099999999,0.88745046,0.8999615,0.0125110399999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.921215322,0.92997305,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
24,0.0,0.925,0.925,0.30786505,1.0,0.69213495,0.375,0.75,0.375,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0.3280055349999999,0.925,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,PASS,24,80,2.4000000000000004,8.0
