scenario_index,group,reference_step,reference_seconds,lead_s,frame,time_from_start_s,action_accel,action_steer,brake_strength,throttle_strength,abs_steer,delta_accel,delta_steer,abs_delta_accel,abs_delta_steer,accel_change_excess,steer_change_excess,smooth_excess,risk_object_index,risk_distance,risk_static_clearance,risk_predicted_clearance,risk_dcpa,risk_tcpa_raw,risk_tcpa_clipped,risk_future_tcpa,risk_approaching,risk_closing_speed,second_object_index,second_distance,second_static_clearance,second_predicted_clearance,second_dcpa,second_future_tcpa,second_approaching,top2_mean_predicted_clearance,second_minus_first_pred_gap,num_pred_conflict_0,num_pred_conflict_1,num_pred_conflict_2,min_future_tcpa_conflict_0,min_future_tcpa_conflict_1,min_future_tcpa_conflict_2
0,SAFE,78,7.800000000000001,3.0,48,4.800000000000001,-0.07882975786924362,0.0010801920434460044,0.07882975786924362,0.0,0.0010801920434460044,0.004346482455730438,0.031146615161560476,0.004346482455730438,0.031146615161560476,0.0,0.0,0.0,1,5.985977746314897,-3.278335675639787,-3.278335675639787,5.985977746314897,-0.08578164904144905,0.0,5.0,0,-2.9993664030144096,9,66.56192941241996,53.93009281078319,37.70016877441733,50.3320053760541,5.0,0,17.21091654938877,40.978504450057116,1,1,1,5.0,5.0,5.0
0,SAFE,78,7.800000000000001,2.0,58,5.800000000000001,-0.078951396048069,-0.002761110896244645,0.078951396048069,0.0,0.002761110896244645,-0.0072190165519714355,-0.014684059889987111,0.0072190165519714355,0.014684059889987111,0.0,0.0,0.0,1,18.25121981697341,8.986906395018726,8.986906395018726,18.25121981697341,-1.0044556043824135,0.0,5.0,0,-15.74885198961386,9,62.93463879387017,50.3028021922334,32.95535732795694,45.58719392959371,5.0,0,20.971131861487834,23.96845093293821,0,0,0,5.0,5.0,5.0
0,SAFE,78,7.800000000000001,1.0,68,6.800000000000001,-0.04351627081632614,-0.0006691961316391826,0.04351627081632614,0.0,0.0006691961316391826,0.0042643435299396515,-0.006258362322114408,0.0042643435299396515,0.006258362322114408,0.0,0.0,0.0,1,32.96630780950948,23.701994387554798,23.701994387554798,32.96630780950948,-2.12071510657582,0.0,5.0,0,-15.140060768984403,9,59.42904627694172,46.79720967530495,28.767570420674687,41.39940702231146,5.0,0,26.234782404114743,5.065576033119889,0,0,0,5.0,5.0,5.0
0,SAFE,78,7.800000000000001,0.5,73,7.300000000000001,-0.018594518303871155,0.01520333718508482,0.018594518303871155,0.0,0.01520333718508482,0.007024988532066345,-0.00023980066180229187,0.007024988532066345,0.00023980066180229187,0.0,0.0,0.0,9,57.69518376164449,45.06334716000772,27.49492258226934,40.12675918390611,16.25880371609769,5.0,5.0,0,3.5199577866966716,1,40.86917954783711,31.60486612588243,31.60486612588243,40.86917954783711,5.0,0,29.549894354075885,4.109943543613092,0,0,0,5.0,5.0,5.0
24,FIXED_COLLISION,24,2.4000000000000004,2.0,4,0.4,-0.018644534051418304,-0.1461416631937027,0.018644534051418304,0.0,0.1461416631937027,-0.0050914473831653595,-0.03147980570793152,0.0050914473831653595,0.03147980570793152,0.0,0.0,0.0,15,52.21015102949158,39.850646553435084,-7.271292707502961,5.088211768553532,2.6784544867731497,2.6784544867731497,2.6784544867731497,1,19.307504622100815,4,4.498125651618436,-5.497700776543235,-5.497700776543235,4.498125651618436,5.0,0,-6.384496742023098,1.773591930959726,3,4,4,1.7366887366448667,1.7366887366448667,1.7366887366448667
24,FIXED_COLLISION,24,2.4000000000000004,1.0,14,1.4000000000000001,-0.051905807107686996,0.10795848816633224,0.051905807107686996,0.0,0.10795848816633224,-0.01765459030866623,-0.010826073586940765,0.01765459030866623,0.010826073586940765,0.0,0.0,0.0,15,32.643086454502786,20.283581978446293,-6.262249489781326,6.097254986275167,1.6550459998104585,1.6550459998104585,1.6550459998104585,1,19.03524595778751,14,32.019671892395,18.76085808379389,3.990715350336446,17.249529158937555,0.6900001546416303,1,-1.1357670697224402,10.252964840117773,1,1,1,1.6550459998104585,1.6550459998104585,1.6550459998104585
24,FIXED_COLLISION,24,2.4000000000000004,0.5,19,1.9000000000000001,0.04297240078449249,0.18800975382328033,0.0,0.04297240078449249,0.18800975382328033,0.022060031071305275,0.04855284094810486,0.022060031071305275,0.04855284094810486,0.0,0.0,0.0,15,22.55456614354317,10.195061667486677,-10.276476485589134,2.0830279904673588,1.146287060646481,1.146287060646481,1.146287060646481,1,19.508366416829965,5,38.62873092088499,25.839553994607556,-8.681622049236454,4.107554877040981,5.0,0,-9.479049267412794,1.59485443635268,2,2,3,1.146287060646481,1.146287060646481,0.2808077620488837
59,SAFE,56,5.6000000000000005,3.0,26,2.6,0.10271912813186646,0.09831182658672333,0.0,0.10271912813186646,0.09831182658672333,0.0036639124155044556,-0.0009648874402046204,0.0036639124155044556,0.0009648874402046204,0.0,0.0,0.0,2,4.688608293246028,-0.5555871189133219,-0.5555871189133219,4.688608293246028,-0.19917151324192,0.0,5.0,0,-0.05461252697047436,9,17.523567545850867,12.422872042303315,9.258814792217802,14.359510295765354,5.0,0,4.351613836652239,9.814401911131124,1,1,1,5.0,5.0,5.0
59,SAFE,56,5.6000000000000005,2.0,36,3.6,0.1352890580892563,0.09946301579475403,0.0,0.1352890580892563,0.09946301579475403,0.002699628472328186,-0.0002009570598602295,0.002699628472328186,0.0002009570598602295,0.0,0.0,0.0,2,5.0209669609229985,-0.22322845123635116,-0.22322845123635116,5.0209669609229985,-1.050477153055691,0.0,5.0,0,-0.7161216747762496,9,16.595766800736612,11.49507129718906,8.386021816463014,13.486717320010568,5.0,0,4.081396682613331,8.609250267699366,1,1,1,5.0,5.0,5.0
59,SAFE,56,5.6000000000000005,1.0,46,4.6000000000000005,0.135158509016037,0.07856953144073486,0.0,0.135158509016037,0.07856953144073486,-0.0013930648565292358,-0.0018340423703193665,0.0013930648565292358,0.0018340423703193665,0.0,0.0,0.0,2,6.2898330065434465,1.0456375943840968,1.0456375943840968,6.2898330065434465,-1.6724182470568987,0.0,5.0,0,-1.8970536348077431,9,15.438558002898732,10.337862499351179,8.87495151871789,13.975647022265443,2.4558429684241045,1,4.960294556550993,7.829313924333793,0,0,1,5.0,5.0,5.0
59,SAFE,56,5.6000000000000005,0.5,51,5.1000000000000005,0.12448875606060028,0.0775906965136528,0.0,0.12448875606060028,0.0775906965136528,-0.002847626805305481,0.0002758800983428955,0.002847626805305481,0.0002758800983428955,0.0,0.0,0.0,2,7.3853382425458225,2.141142830386473,2.141142830386473,7.3853382425458225,-1.9705392691888304,0.0,5.0,0,-2.507052958138477,4,13.803750156128276,8.577193392778836,8.577193392778836,13.803750156128276,5.0,0,5.359168111582655,6.436050562392364,0,0,0,5.0,5.0,5.0
106,SAFE,79,7.9,3.0,49,4.9,0.021243860945105553,-0.00199322123080492,0.0,0.021243860945105553,0.00199322123080492,-0.0026750899851322174,-0.015835576690733433,0.0026750899851322174,0.015835576690733433,0.0,0.0,0.0,10,10.21428595708324,4.3532966289164,0.757357637679072,6.6183469658459115,10.76751670628563,5.0,5.0,0,0.7717858795209247,1,8.067879238807354,2.0909545307369495,2.0909545307369495,8.067879238807354,5.0,0,1.4241560842080108,1.3335968930578774,0,1,1,5.0,5.0,5.0
106,SAFE,79,7.9,2.0,59,5.9,0.017048152163624763,-0.05018237233161926,0.0,0.017048152163624763,0.05018237233161926,0.009585491381585598,-0.00805431604385376,0.009585491381585598,0.00805431604385376,0.0,0.0,0.0,10,8.620369712023422,2.7593803838565822,0.08473022457748502,5.9457195527443245,2.3194919883124063,2.3194919883124063,2.3194919883124063,1,1.9484586017647905,18,9.586170931829793,3.6256053634479617,3.6256053634479617,9.586170931829793,5.0,0,1.8551677940127234,3.5408751388704767,0,1,1,5.0,2.3194919883124063,2.3194919883124063
106,SAFE,79,7.9,1.0,69,6.9,0.0071669030003249645,-0.04954863339662552,0.0,0.0071669030003249645,0.04954863339662552,-0.013175491709262133,0.007416579872369766,0.013175491709262133,0.007416579872369766,0.0,0.0,0.0,10,6.7591618706848955,0.898172542518056,0.4180781476818156,6.279067475848655,0.62372533787483,0.62372533787483,0.62372533787483,1,1.48476943102668,20,18.128358181434802,12.18427676201638,3.9309987210174544,9.875080140435877,3.921090276353502,1,2.174538434349635,3.512920573335639,0,1,1,5.0,0.62372533787483,0.62372533787483
106,SAFE,79,7.9,0.5,74,7.4,-0.00696483813226223,-0.022851882502436638,0.00696483813226223,0.0,0.022851882502436638,-0.008868227945640683,0.01303030364215374,0.008868227945640683,0.01303030364215374,0.0,0.0,0.0,10,6.290771595705474,0.42978226753863424,0.4189287009885341,6.279918029155374,0.08030391332090073,0.08030391332090073,0.08030391332090073,1,0.2700790830147584,20,16.51837521709115,10.574293797672729,3.6404675692247626,9.584548988643185,3.4734579880310616,1,2.0296981351066483,3.2215388682362285,0,1,1,5.0,0.08030391332090073,0.08030391332090073
