scenario_index,group,reference_step,reference_seconds,window_s,window_steps,mean_accel,min_accel,mean_brake,max_brake,brake_impulse,throttle_impulse,mean_abs_steer,max_abs_steer,steer_effort,steer_persistence,steer_sign_flips,steer_total_variation,steer_variation_ratio,accel_total_variation,mean_abs_delta_steer,max_abs_delta_steer,mean_abs_delta_accel,max_abs_delta_accel,num_steer_transitions,window_max_abs_delta_steer,window_mean_abs_delta_steer,act_0010,excess_0010,sq_0010,max_excess_0010,act_0020,excess_0020,sq_0020,max_excess_0020,act_0030,excess_0030,sq_0030,max_excess_0030,act_0040,excess_0040,sq_0040,max_excess_0040,act_0050,excess_0050,sq_0050,max_excess_0050,act_0075,excess_0075,sq_0075,max_excess_0075,act_0100,excess_0100,sq_0100,max_excess_0100,act_0150,excess_0150,sq_0150,max_excess_0150
0,SAFE,78,7.800000000000001,3.0,30,-0.059288670495152476,-0.084658183157444,0.059288670495152476,0.084658183157444,0.17786601148545744,0.0,0.016315427686398227,0.04309287667274475,0.048946283059194684,0.2776257381909404,2,0.2481332259485498,0.5069500794962541,0.1597079373896122,0.00855631813615689,0.02963836584240198,0.005507170254814214,0.01507754996418953,29,0.02963836584240198,0.00855631813615689,0.3448275862068966,0.0023404690469133443,2.8032351991955343e-05,0.01963836584240198,0.10344827586206896,0.0005282670407202736,4.019279025271634e-06,0.009638365842401981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,SAFE,78,7.800000000000001,2.0,20,-0.05250166077166796,-0.078951396048069,0.05250166077166796,0.078951396048069,0.10500332154333591,0.0,0.0149240824917797,0.025497911497950554,0.0298481649835594,0.18457984437075647,1,0.14108658744953573,0.47268092628286545,0.1024041660130024,0.007425609865765038,0.024780014529824257,0.005389692948052758,0.01507754996418953,19,0.024780014529824257,0.007425609865765038,0.21052631578947367,0.0017631973563938547,1.936381441425969e-05,0.014780014529824257,0.10526315789473684,0.0002990199125518924,1.2453155589945332e-06,0.0047800145298242565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,SAFE,78,7.800000000000001,1.0,10,-0.038694446161389354,-0.05419222638010979,0.038694446161389354,0.05419222638010979,0.038694446161389354,0.0,0.014184560196008533,0.02493218332529068,0.014184560196008535,0.6370589539280722,1,0.07895161129999906,0.5566024229372402,0.06051946058869362,0.008772401255555451,0.024780014529824257,0.006724384509854847,0.01507754996418953,9,0.024780014529824257,0.008772401255555451,0.3333333333333333,0.0025110428847579494,2.7674748998014994e-05,0.014780014529824257,0.1111111111111111,0.0005311127255360285,2.5387265450367786e-06,0.0047800145298242565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,SAFE,78,7.800000000000001,0.5,5,-0.039737872779369354,-0.05419222638010979,0.039737872779369354,0.05419222638010979,0.019868936389684677,0.0,0.02013233434408903,0.02493218332529068,0.010066167172044517,0.9999999006573324,0,0.017769171856343746,0.17652369355095618,0.03559770807623863,0.0044422929640859365,0.008040325716137886,0.008899427019059658,0.01507754996418953,4,0.008040325716137886,0.0044422929640859365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,FIXED_COLLISION,24,2.4000000000000004,2.0,20,-0.0112108513712883,-0.051905807107686996,0.024109535571187734,0.051905807107686996,0.048219071142375475,0.025797368399798872,0.10004589050076902,0.18800975382328033,0.20009178100153804,0.38104499992473967,1,0.6025054454803467,0.3011145382651025,0.20463847368955612,0.03171081292001825,0.10336470790207386,0.010770445983660849,0.029925590381026268,19,0.10336470790207386,0.03171081292001825,0.6842105263157895,0.023060240237728544,0.0014664931120100537,0.09336470790207387,0.5263157894736842,0.01751536720089222,0.0010624500446078896,0.08336470790207386,0.3157894736842105,0.013316805262706783,0.0007580899105522708,0.07336470790207386,0.2631578947368421,0.010674587607775864,0.0005182802184631958,0.06336470790207385,0.21052631578947367,0.00811917492629666,0.0003309940310802321,0.05336470790207386,0.21052631578947367,0.002856017031559819,5.661423213382021e-05,0.028364707902073863,0.05263157894736842,0.00017708988958283446,5.958557508567495e-07,0.0033647079020738546,0.0,0.0,0.0,0.0
24,FIXED_COLLISION,24,2.4000000000000004,1.0,10,0.012344923615455628,-0.051905807107686996,0.013452444784343242,0.051905807107686996,0.013452444784343244,0.025797368399798872,0.1207680158317089,0.18800975382328033,0.12076801583170892,0.999999991719662,0,0.24802596867084503,0.20537388555156205,0.1303175464272499,0.027558440963427227,0.08165867626667023,0.014479727380805545,0.029925590381026268,9,0.08165867626667023,0.027558440963427227,0.7777777777777778,0.019387698868910473,0.0008399437112428896,0.07165867626667023,0.6666666666666666,0.012220466004477605,0.0005266126258215557,0.06165867626667022,0.2222222222222222,0.007801279690530565,0.00033475852676336827,0.05165867626667023,0.2222222222222222,0.005579057468308343,0.00020095515517497915,0.041658676266670226,0.1111111111111111,0.0035176306962966916,0.00011136353143975872,0.031658676266670224,0.1111111111111111,0.0007398529185189144,4.926441069368599e-06,0.00665867626667023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,FIXED_COLLISION,24,2.4000000000000004,0.5,5,0.0474122628569603,0.040843572467565536,0.0,0.0,0.0,0.02370613142848015,0.10540960133075714,0.18800975382328033,0.052704800665378575,0.9999999810263965,0,0.11809121817350388,0.22406159295174274,0.03543933853507042,0.02952280454337597,0.08165867626667023,0.008859834633767605,0.014997608959674835,4,0.08165867626667023,0.02952280454337597,0.75,0.021771773993968967,0.0013186451944855288,0.07165867626667023,0.5,0.015645500048995016,0.0009506612215091194,0.06165867626667022,0.25,0.012914669066667557,0.0006671547084061595,0.05165867626667023,0.25,0.010414669066667557,0.0004338613270728083,0.041658676266670226,0.25,0.007914669066667556,0.0002505679457394571,0.031658676266670224,0.25,0.0016646690666675575,1.1084492406079347e-05,0.00665867626667023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,SAFE,56,5.6000000000000005,3.0,30,0.12680178582668306,0.10271912813186646,0.0,0.0,0.0,0.38040535748004917,0.08997234180569649,0.09966397285461426,0.26991702541708945,0.9999999962951578,0,0.03483942896127701,0.012907458793444678,0.06377223134040833,0.0012013596193543796,0.003284566104412079,0.0021990424600140802,0.005356296896934509,29,0.003284566104412079,0.0012013596193543796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,SAFE,56,5.6000000000000005,2.0,20,0.13051546812057496,0.11025130748748779,0.0,0.0,0.0,0.2610309362411499,0.0858728226274252,0.09963920712471008,0.1717456452548504,0.9999999941774361,0,0.031228967010974884,0.01818326559768203,0.031202301383018494,0.0016436298426828887,0.003284566104412079,0.0016422263885799207,0.004106193780899048,19,0.003284566104412079,0.0016436298426828887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,SAFE,56,5.6000000000000005,1.0,10,0.12419988214969635,0.11025130748748779,0.0,0.0,0.0,0.12419988214969635,0.0793550230562687,0.08562261611223221,0.0793550230562687,0.9999999873984033,0,0.00998309999704361,0.01258029988115792,0.024907201528549194,0.0011092333330048455,0.00246410071849823,0.002767466836505466,0.004106193780899048,9,0.00246410071849823,0.0011092333330048455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
