lead_s,mode,feature,new_median,fixed_median,auc,separability,direction
3.0,RAW,relative_speed,1.6178711049617065,1.4184988359134794,0.5416666666666666,0.5416666666666666,NEW_HIGHER
3.0,RAW,radial_closing,0.22287446194095598,0.041983974141621055,0.5166666666666667,0.5166666666666667,NEW_HIGHER
3.0,RAW,tangential_speed,0.922420736876404,0.921662879372273,0.5,0.5,NEW_HIGHER
3.0,RAW,longitudinal_center_closing,0.4807360675185918,0.5727163553237915,0.4666666666666667,0.5333333333333333,NEW_LOWER
3.0,RAW,lateral_center_closing,1.762814033634541e-09,-5.804029479250514e-11,0.5,0.5,NEW_HIGHER
3.0,RAW,crossing_ratio,0.552290404978895,0.5698552448102618,0.475,0.525,NEW_LOWER
3.0,RAW,abs_bearing_deg,66.72565262223308,87.01755329726242,0.375,0.625,NEW_LOWER
3.0,RAW,abs_velocity_angle_deg,168.67111735986674,134.28989195786954,0.5833333333333334,0.5833333333333334,NEW_HIGHER
3.0,RAW,lateral_fraction,0.8533518091892582,0.8064069011206834,0.5333333333333333,0.5333333333333333,NEW_HIGHER
3.0,RAW,time_to_x_axis,5.0,5.0,0.5625,0.5625,NEW_HIGHER
3.0,RAW,time_to_y_axis,5.0,5.0,0.45,0.55,NEW_LOWER
3.0,RAW,axis_time_gap,5.0,5.0,0.5,0.5,NEW_HIGHER
3.0,RAW,closest_abs_x,1.06976318359375,1.3135623931884766,0.4,0.6,NEW_LOWER
3.0,RAW,closest_abs_y,3.3213195783762535,3.558650390103148,0.375,0.625,NEW_LOWER
3.0,RAW,closest_side_flip,0.0,0.0,0.55,0.55,NEW_HIGHER
3.0,MATCHED,relative_speed,1.6178711049617065,1.6114830155797846,0.5,0.5,NEW_HIGHER
3.0,MATCHED,radial_closing,0.22287446194095598,0.041983974141621055,0.52,0.52,NEW_HIGHER
3.0,MATCHED,tangential_speed,0.922420736876404,0.921662879372273,0.58,0.58,NEW_HIGHER
3.0,MATCHED,longitudinal_center_closing,0.4807360675185918,0.15295834839344025,0.54,0.54,NEW_HIGHER
3.0,MATCHED,lateral_center_closing,1.762814033634541e-09,0.1487066082563615,0.34,0.6599999999999999,NEW_LOWER
3.0,MATCHED,crossing_ratio,0.552290404978895,0.44834573896058366,0.52,0.52,NEW_HIGHER
3.0,MATCHED,abs_bearing_deg,66.72565262223308,45.583907801407406,0.46,0.54,NEW_LOWER
3.0,MATCHED,abs_velocity_angle_deg,168.67111735986674,7.6847792943842705,0.68,0.68,NEW_HIGHER
3.0,MATCHED,lateral_fraction,0.8533518091892582,0.5212628989868181,0.63,0.63,NEW_HIGHER
3.0,MATCHED,time_to_x_axis,5.0,5.0,0.52,0.52,NEW_HIGHER
3.0,MATCHED,time_to_y_axis,5.0,5.0,0.45,0.55,NEW_LOWER
3.0,MATCHED,axis_time_gap,5.0,5.0,0.5,0.5,NEW_HIGHER
3.0,MATCHED,closest_abs_x,1.06976318359375,0.9125887474666905,0.42,0.5800000000000001,NEW_LOWER
3.0,MATCHED,closest_abs_y,3.3213195783762535,3.5310585594407247,0.43,0.5700000000000001,NEW_LOWER
3.0,MATCHED,closest_side_flip,0.0,0.0,0.55,0.55,NEW_HIGHER
2.0,RAW,relative_speed,4.310286318142222,1.7564977547691187,0.5025641025641026,0.5025641025641026,NEW_HIGHER
2.0,RAW,radial_closing,4.141804869804206,1.0732451568933687,0.517948717948718,0.517948717948718,NEW_HIGHER
2.0,RAW,tangential_speed,1.05598617830791,1.2219635569746221,0.3487179487179487,0.6512820512820513,NEW_LOWER
2.0,RAW,longitudinal_center_closing,4.289516448974609,1.711247444152832,0.517948717948718,0.517948717948718,NEW_HIGHER
2.0,RAW,lateral_center_closing,3.332912557052481e-10,0.049866973913069,0.3435897435897436,0.6564102564102564,NEW_LOWER
2.0,RAW,crossing_ratio,0.18585252131191288,0.33665709292733415,0.4358974358974359,0.5641025641025641,NEW_LOWER
2.0,RAW,abs_bearing_deg,71.18028103980245,84.74310805654798,0.4717948717948718,0.5282051282051282,NEW_LOWER
2.0,RAW,abs_velocity_angle_deg,178.78862559828858,176.38267232399076,0.5076923076923077,0.5076923076923077,NEW_HIGHER
2.0,RAW,lateral_fraction,0.18211428315565162,0.5933037248922125,0.4153846153846154,0.5846153846153845,NEW_LOWER
2.0,RAW,time_to_x_axis,3.7335244972085095,3.320327110191511,0.541025641025641,0.541025641025641,NEW_HIGHER
2.0,RAW,time_to_y_axis,5.0,5.0,0.5333333333333333,0.5333333333333333,NEW_HIGHER
2.0,RAW,axis_time_gap,5.0,5.0,0.5333333333333333,0.5333333333333333,NEW_HIGHER
2.0,RAW,closest_abs_x,0.26568603515625,0.6253776550292969,0.5128205128205128,0.5128205128205128,NEW_HIGHER
2.0,RAW,closest_abs_y,3.35870361328125,3.4319731885222624,0.441025641025641,0.558974358974359,NEW_LOWER
2.0,RAW,closest_side_flip,0.0,0.0,0.4666666666666667,0.5333333333333333,NEW_LOWER
2.0,MATCHED,relative_speed,4.310286318142222,1.536076145145619,0.5621301775147929,0.5621301775147929,NEW_HIGHER
2.0,MATCHED,radial_closing,4.141804869804206,1.0732451568933687,0.5562130177514792,0.5562130177514792,NEW_HIGHER
2.0,MATCHED,tangential_speed,1.05598617830791,1.0677722143994541,0.5207100591715976,0.5207100591715976,NEW_HIGHER
2.0,MATCHED,longitudinal_center_closing,4.289516448974609,1.0691566467285156,0.5266272189349113,0.5266272189349113,NEW_HIGHER
2.0,MATCHED,lateral_center_closing,3.332912557052481e-10,-1.6529498880757387e-09,0.40236686390532544,0.5976331360946745,NEW_LOWER
2.0,MATCHED,crossing_ratio,0.18585252131191288,0.24373235829411732,0.4556213017751479,0.5443786982248521,NEW_LOWER
2.0,MATCHED,abs_bearing_deg,71.18028103980245,124.89703047457436,0.33727810650887574,0.6627218934911243,NEW_LOWER
2.0,MATCHED,abs_velocity_angle_deg,178.78862559828858,178.6018000030336,0.47337278106508873,0.5266272189349113,NEW_LOWER
2.0,MATCHED,lateral_fraction,0.18211428315565162,0.5933037248922125,0.42011834319526625,0.5798816568047338,NEW_LOWER
2.0,MATCHED,time_to_x_axis,3.7335244972085095,5.0,0.45857988165680474,0.5414201183431953,NEW_LOWER
2.0,MATCHED,time_to_y_axis,5.0,5.0,0.46153846153846156,0.5384615384615384,NEW_LOWER
2.0,MATCHED,axis_time_gap,5.0,5.0,0.5,0.5,NEW_HIGHER
2.0,MATCHED,closest_abs_x,0.26568603515625,0.6253776550292969,0.5562130177514792,0.5562130177514792,NEW_HIGHER
2.0,MATCHED,closest_abs_y,3.35870361328125,2.8097354328040325,0.44970414201183434,0.5502958579881656,NEW_LOWER
2.0,MATCHED,closest_side_flip,0.0,0.0,0.5,0.5,NEW_HIGHER
1.0,RAW,relative_speed,4.888828504894533,4.220778465270996,0.5058823529411764,0.5058823529411764,NEW_HIGHER
1.0,RAW,radial_closing,4.201645550732855,4.052093476414007,0.5098039215686274,0.5098039215686274,NEW_HIGHER
1.0,RAW,tangential_speed,1.3617121754119974,1.3871461773974696,0.5019607843137255,0.5019607843137255,NEW_HIGHER
1.0,RAW,longitudinal_center_closing,4.881628036499023,1.5819664001464844,0.5294117647058824,0.5294117647058824,NEW_HIGHER
1.0,RAW,lateral_center_closing,3.2934543980900344e-11,0.0737952082180228,0.3254901960784314,0.6745098039215687,NEW_LOWER
1.0,RAW,crossing_ratio,0.31811376053517504,0.32773417610788336,0.5215686274509804,0.5215686274509804,NEW_HIGHER
1.0,RAW,abs_bearing_deg,78.30456603207277,62.03809575037022,0.4627450980392157,0.5372549019607843,NEW_LOWER
1.0,RAW,abs_velocity_angle_deg,179.0628076699069,177.15563134471864,0.5450980392156862,0.5450980392156862,NEW_HIGHER
1.0,RAW,lateral_fraction,0.42277654470106774,0.5586730508350148,0.4549019607843137,0.5450980392156863,NEW_LOWER
1.0,RAW,time_to_x_axis,2.379726534465077,4.382408223756447,0.4019607843137255,0.5980392156862745,NEW_LOWER
1.0,RAW,time_to_y_axis,5.0,5.0,0.5,0.5,NEW_HIGHER
1.0,RAW,axis_time_gap,5.0,5.0,0.5,0.5,NEW_HIGHER
1.0,RAW,closest_abs_x,0.0713463139270977,0.44384765625,0.38823529411764707,0.611764705882353,NEW_LOWER
1.0,RAW,closest_abs_y,3.565032958984375,3.22137451171875,0.5764705882352941,0.5764705882352941,NEW_HIGHER
1.0,RAW,closest_side_flip,0.0,0.0,0.47058823529411764,0.5294117647058824,NEW_LOWER
1.0,MATCHED,relative_speed,4.888828504894533,2.318551997858985,0.6133333333333333,0.6133333333333333,NEW_HIGHER
1.0,MATCHED,radial_closing,4.201645550732855,1.39753575662516,0.6266666666666667,0.6266666666666667,NEW_HIGHER
1.0,MATCHED,tangential_speed,1.3617121754119974,1.181316770091087,0.6488888888888888,0.6488888888888888,NEW_HIGHER
1.0,MATCHED,longitudinal_center_closing,4.881628036499023,1.5819664001464844,0.6044444444444445,0.6044444444444445,NEW_HIGHER
1.0,MATCHED,lateral_center_closing,3.2934543980900344e-11,0.0425118025011137,0.3377777777777778,0.6622222222222223,NEW_LOWER
1.0,MATCHED,crossing_ratio,0.31811376053517504,0.34780155105546323,0.49333333333333335,0.5066666666666666,NEW_LOWER
1.0,MATCHED,abs_bearing_deg,78.30456603207277,84.11865683995877,0.4666666666666667,0.5333333333333333,NEW_LOWER
1.0,MATCHED,abs_velocity_angle_deg,179.0628076699069,177.21586145754236,0.4622222222222222,0.5377777777777778,NEW_LOWER
1.0,MATCHED,lateral_fraction,0.42277654470106774,0.5586730508350148,0.4,0.6,NEW_LOWER
1.0,MATCHED,time_to_x_axis,2.379726534465077,4.362862795027885,0.32,0.6799999999999999,NEW_LOWER
1.0,MATCHED,time_to_y_axis,5.0,5.0,0.43333333333333335,0.5666666666666667,NEW_LOWER
1.0,MATCHED,axis_time_gap,5.0,5.0,0.5,0.5,NEW_HIGHER
1.0,MATCHED,closest_abs_x,0.0713463139270977,0.44384765625,0.38222222222222224,0.6177777777777778,NEW_LOWER
1.0,MATCHED,closest_abs_y,3.565032958984375,3.22137451171875,0.52,0.52,NEW_HIGHER
1.0,MATCHED,closest_side_flip,0.0,0.0,0.5,0.5,NEW_HIGHER
0.5,RAW,relative_speed,4.909938618633136,2.291366823342738,0.5725490196078431,0.5725490196078431,NEW_HIGHER
0.5,RAW,radial_closing,3.5315072665247125,1.0709676059821212,0.5411764705882353,0.5411764705882353,NEW_HIGHER
0.5,RAW,tangential_speed,1.5605574115576033,0.7346990274121179,0.5803921568627451,0.5803921568627451,NEW_HIGHER
0.5,RAW,longitudinal_center_closing,4.900318145751953,1.3218202590942385,0.5529411764705883,0.5529411764705883,NEW_HIGHER
0.5,RAW,lateral_center_closing,5.154106474947184e-08,1.0005055628425909e-07,0.5215686274509804,0.5215686274509804,NEW_HIGHER
0.5,RAW,crossing_ratio,0.33725768286114005,0.37378368554153507,0.5137254901960784,0.5137254901960784,NEW_HIGHER
0.5,RAW,abs_bearing_deg,30.783957522997095,45.42130286187009,0.4627450980392157,0.5372549019607843,NEW_LOWER
0.5,RAW,abs_velocity_angle_deg,179.00254950731784,173.90558480098417,0.5843137254901961,0.5843137254901961,NEW_HIGHER
0.5,RAW,lateral_fraction,0.4535352278848245,0.48174397767744864,0.4980392156862745,0.5019607843137255,NEW_LOWER
0.5,RAW,time_to_x_axis,2.855974043199798,4.311321047395111,0.403921568627451,0.596078431372549,NEW_LOWER
0.5,RAW,time_to_y_axis,5.0,5.0,0.5078431372549019,0.5078431372549019,NEW_HIGHER
0.5,RAW,axis_time_gap,5.0,5.0,0.492156862745098,0.5078431372549019,NEW_LOWER
0.5,RAW,closest_abs_x,0.0882535011771352,0.4938142178523872,0.3333333333333333,0.6666666666666667,NEW_LOWER
0.5,RAW,closest_abs_y,3.41400146484375,3.1745118512131025,0.49019607843137253,0.5098039215686274,NEW_LOWER
0.5,RAW,closest_side_flip,0.0,0.0,0.4411764705882353,0.5588235294117647,NEW_LOWER
0.5,MATCHED,relative_speed,4.909938618633136,1.3235535085290107,0.6311111111111111,0.6311111111111111,NEW_HIGHER
0.5,MATCHED,radial_closing,3.5315072665247125,1.1364929870925242,0.5911111111111111,0.5911111111111111,NEW_HIGHER
0.5,MATCHED,tangential_speed,1.5605574115576033,0.6783638995620014,0.6577777777777778,0.6577777777777778,NEW_HIGHER
0.5,MATCHED,longitudinal_center_closing,4.900318145751953,1.3218202590942385,0.5955555555555555,0.5955555555555555,NEW_HIGHER
0.5,MATCHED,lateral_center_closing,5.154106474947184e-08,3.7485126114233935e-11,0.64,0.64,NEW_HIGHER
0.5,MATCHED,crossing_ratio,0.33725768286114005,0.37378368554153507,0.49777777777777776,0.5022222222222222,NEW_LOWER
0.5,MATCHED,abs_bearing_deg,30.783957522997095,45.42130286187009,0.38666666666666666,0.6133333333333333,NEW_LOWER
0.5,MATCHED,abs_velocity_angle_deg,179.00254950731784,175.81533390933555,0.5866666666666667,0.5866666666666667,NEW_HIGHER
0.5,MATCHED,lateral_fraction,0.4535352278848245,0.5027397645713592,0.48,0.52,NEW_LOWER
0.5,MATCHED,time_to_x_axis,2.855974043199798,4.311321047395111,0.35555555555555557,0.6444444444444444,NEW_LOWER
0.5,MATCHED,time_to_y_axis,5.0,5.0,0.36666666666666664,0.6333333333333333,NEW_LOWER
0.5,MATCHED,axis_time_gap,5.0,5.0,0.43333333333333335,0.5666666666666667,NEW_LOWER
0.5,MATCHED,closest_abs_x,0.0882535011771352,0.1797492778839888,0.4,0.6,NEW_LOWER
0.5,MATCHED,closest_abs_y,3.41400146484375,3.273657887189431,0.4622222222222222,0.5377777777777778,NEW_LOWER
0.5,MATCHED,closest_side_flip,0.0,0.0,0.5,0.5,NEW_HIGHER
