model,scenario_index,group,reference_step,reference_seconds,lead_s,frame,time_from_start_s,expected_episode_length,actual_episode_length,action_accel,action_steer,abs_steer,brake_strength,throttle_strength,delta_accel,delta_steer,abs_delta_accel,abs_delta_steer,risk_object_index,risk_distance,risk_static_clearance,risk_predicted_clearance,risk_dcpa,risk_tcpa_raw,risk_tcpa_clipped,risk_future_tcpa,risk_approaching,risk_closing_speed,second_object_index,second_distance,second_static_clearance,second_predicted_clearance,second_dcpa,second_future_tcpa,second_approaching,top2_mean_predicted_clearance,second_minus_first_pred_gap,num_pred_conflict_0,num_pred_conflict_1,num_pred_conflict_2,min_future_tcpa_conflict_0,min_future_tcpa_conflict_1,min_future_tcpa_conflict_2
V28,24,EARLY_COLLISION,24,2.4000000000000004,2.0,4,0.4,24,24,-0.08994360268115997,-0.04237205907702446,0.04237205907702446,0.08994360268115997,0.0,-0.0027378275990486145,0.040568385273218155,0.0027378275990486145,0.040568385273218155,15,52.19864728281942,39.83914280676293,-8.239457330510891,4.120047145545601,2.698282040881507,2.698282040881507,2.698282040881507,1,19.22462164848499,4,4.285346804148897,-5.710479624012773,-5.710479624012773,4.285346804148897,5.0,0,-6.974968477261832,2.528977706498118,4,4,4,1.7401454839475212,1.7401454839475212,1.7401454839475212
V28,24,EARLY_COLLISION,24,2.4000000000000004,1.0,14,1.4000000000000001,24,24,-0.08627061545848846,0.040903471410274506,0.040903471410274506,0.08627061545848846,0.0,-0.0031838566064834595,0.02384871430695057,0.0031838566064834595,0.02384871430695057,15,32.59237447298728,20.232869996930788,-10.076088245157534,2.2834162308989594,1.7083616531529666,1.7083616531529666,1.7083616531529666,1,18.984504047518882,14,31.243150847402422,17.984337038801314,1.433532892864534,14.692346701465643,0.7100180936187803,1,-4.3212776761465,11.509621138022068,1,1,2,1.7083616531529666,1.7083616531529666,0.7100180936187803
V28,24,EARLY_COLLISION,24,2.4000000000000004,0.5,19,1.9000000000000001,24,24,-0.012882240116596222,0.056218840181827545,0.056218840181827545,0.012882240116596222,0.0,0.0403645858168602,0.02072097361087799,0.0403645858168602,0.02072097361087799,15,22.672655629866867,10.313151153810374,-12.292426945587387,0.06707753046910603,1.1933483122031736,1.1933483122031736,1.1933483122031736,1,18.999027314764717,5,38.24145799794386,25.452281071666427,-2.1317400611423842,10.65743686513505,4.831600322972688,1,-7.212083503364886,10.160686884445003,2,3,3,1.1933483122031736,0.25616055517651387,0.25616055517651387
V28,1124,LATE_COLLISION,76,7.6000000000000005,3.0,46,4.6000000000000005,76,76,-0.03335689753293991,0.01695622317492962,0.01695622317492962,0.03335689753293991,0.0,-0.0011231116950511932,0.0008966047316789627,0.0011231116950511932,0.0008966047316789627,2,2.5974716608531905,-2.565344926614383,-2.565344926614383,2.5974716608531905,-404.5319606872111,0.0,5.0,0,-0.0006818424618368653,4,2.7990328733165253,-2.402071795640908,-2.402071795640908,2.7990328733165253,5.0,0,-2.4837083611276456,0.16327313097347496,4,5,5,4.104200717265243,4.104200717265243,4.104200717265243
V28,1124,LATE_COLLISION,76,7.6000000000000005,2.0,56,5.6000000000000005,76,76,-0.052964288741350174,0.032771036028862,0.032771036028862,0.052964288741350174,0.0,0.0021675191819667816,0.004888471215963364,0.0021675191819667816,0.004888471215963364,2,2.5924741532751074,-2.570342434192466,-2.570342434192466,2.5924741532751074,-96.64720693777545,0.0,5.0,0,-0.0027918220899782816,4,2.790264824828336,-2.4108398441290975,-2.4108398441290975,2.790264824828336,5.0,0,-2.490591139160782,0.15950259006336864,4,5,5,3.2715643379163226,3.2715643379163226,3.2715643379163226
V28,1124,LATE_COLLISION,76,7.6000000000000005,1.0,66,6.6000000000000005,76,76,-0.08734586089849472,0.029343819245696068,0.029343819245696068,0.08734586089849472,0.0,-0.0038542449474334717,-0.00043573789298534393,0.0038542449474334717,0.00043573789298534393,4,2.803947481934783,-2.3971571870226502,-2.3971571870226502,2.803947481934783,-42.196256017286714,0.0,5.0,0,-0.002730834382724314,1,4.037066618144372,0.931096173913283,-0.775944414417701,2.3300260298133884,2.4579937709526627,1,-1.5865508007201756,1.6212127726049492,3,4,4,2.4579937709526627,2.4579937709526627,2.4579937709526627
V28,1124,LATE_COLLISION,76,7.6000000000000005,0.5,71,7.1000000000000005,76,76,-0.10744544118642807,0.01801244542002678,0.01801244542002678,0.10744544118642807,0.0,-0.003482930362224579,-0.003348167985677719,0.003482930362224579,0.003348167985677719,4,2.8160157038709417,-2.3850889650864917,-2.3850889650864917,2.8160157038709417,-13.040041539005063,0.0,5.0,0,-0.009219457179469218,1,3.5168135541236274,0.410843109892538,-0.9335677149254007,2.1724027293056887,2.1473148255152745,1,-1.6593283400059462,1.451521250161091,3,4,4,2.1473148255152745,2.1473148255152745,2.1473148255152745
V28,1237,LATE_COLLISION,37,3.7,3.0,7,0.7000000000000001,37,37,0.07969865947961807,-0.006930917967110872,0.006930917967110872,0.0,0.07969865947961807,-0.013458862900733948,0.0026736953295767307,0.013458862900733948,0.0026736953295767307,2,2.8485025953818397,-2.278933812301851,-2.278933812301851,2.8485025953818397,-0.894399130105,0.0,5.0,0,-0.6563735423097625,3,3.0877219414345443,-2.0370535133156307,-2.0370535133156307,3.0877219414345443,5.0,0,-2.1579936628087406,0.24188029898622032,4,6,6,1.5888482188806412,1.5888482188806412,1.5888482188806412
V28,1237,LATE_COLLISION,37,3.7,2.0,17,1.7000000000000002,37,37,-0.016133954748511314,-0.006181630305945873,0.006181630305945873,0.016133954748511314,0.0,-0.005657779984176159,-0.0019742310978472233,0.005657779984176159,0.0019742310978472233,2,3.811700982697242,-1.3157354249864488,-1.3157354249864488,3.811700982697242,-1.784240853209212,0.0,5.0,0,-1.2289392214002506,3,3.9249223249877425,-1.1998531297624324,-1.1998531297624324,3.9249223249877425,5.0,0,-1.2577942773744406,0.11588229522401639,4,6,6,0.691661958179292,0.691661958179292,0.691661958179292
V28,1237,LATE_COLLISION,37,3.7,1.0,27,2.7,37,37,-0.0995413139462471,-0.015443532727658749,0.015443532727658749,0.0995413139462471,0.0,-0.0037592798471450806,-0.0019539520144462585,0.0037592798471450806,0.0019539520144462585,1,1.5209287493815344,-1.4524978790888101,-1.4614801497694243,1.5119464787009202,0.06362142174503511,0.06362142174503511,0.06362142174503511,1,0.28153243915125264,4,7.375831133372055,2.092927464046272,-0.4987850023603979,4.7841186669653855,4.3729369766383455,1,-0.9801325760649111,0.9626951474090264,2,5,6,0.06362142174503511,0.06362142174503511,0.06362142174503511
V28,1237,LATE_COLLISION,37,3.7,0.5,32,3.2,37,37,-0.09911111742258072,0.0007873547729104757,0.0007873547729104757,0.09911111742258072,0.0,0.004674382507801056,0.004784815711900592,0.004674382507801056,0.004784815711900592,1,1.6635783150378674,-1.3098483134324772,-1.3098483134324772,1.6635783150378674,-0.25512672591570607,0.0,5.0,0,-0.5433709263069233,4,6.965844291224322,1.6829406218985383,-0.4790868486698727,4.803816820655911,5.0,0,-0.894467581051175,0.8307614647626045,2,5,5,5.0,5.0,5.0
