Checkpoint,RideFlux,Progress,Comfort,Collision,Overlap,OffroadBox,Accuracy
0.003M,0.20865650063802085,0.49293532927739586,0.9971666442838543,0.26953125,0.30859375,0.4778645833333333,0.21484375
0.259M,0.47887052592447915,0.7240545270604036,0.9068105987760416,0.0859375,0.13932291666666666,0.3411458333333333,0.51953125
0.515M,0.6632436387890626,0.7862443974126953,0.7303656465364584,0.1015625,0.1328125,0.06380208333333333,0.8033854166666666
0.771M,0.7586157002343751,0.8403466394467318,0.7502366472395833,0.0703125,0.10026041666666667,0.013020833333333334,0.88671875
1.027M,0.7543178683854167,0.8827980909005207,0.63013524375,0.05859375,0.07421875,0.014322916666666666,0.9114583333333334
1.283M,0.7993764948697916,0.8753030083359375,0.7531398256822918,0.045572916666666664,0.05859375,0.005208333333333333,0.9361979166666666
1.539M,0.7334111528125001,0.8275067715046224,0.767793365234375,0.0859375,0.11328125,0.009114583333333334,0.8776041666666666
1.795M,0.7640562171614583,0.8342586418338541,0.75915441578125,0.0546875,0.07421875,0.013020833333333334,0.9140625
2.051M,0.7204365905468749,0.8055912857189713,0.7123264768020835,0.0625,0.08984375,0.005208333333333333,0.9049479166666666
2.307M,0.7397290250520835,0.789491957072487,0.7838158241276041,0.05078125,0.06901041666666667,0.01171875,0.9192708333333334
2.563M,0.7534731850130209,0.8049074521407161,0.8054205402734375,0.06510416666666667,0.08072916666666667,0.006510416666666667,0.9127604166666666
2.819M,0.7382453497526043,0.8051050129925782,0.7643161584375001,0.08854166666666667,0.10286458333333333,0.013020833333333334,0.8841145833333334
FINAL,0.7200824486588541,0.8029782778177604,0.6795098731145833,0.057291666666666664,0.07552083333333333,0.015625,0.9088541666666666
