Model,RideFlux,Progress,Comfort,Collision,Overlap,OffroadBox,Accuracy
V17,0.8358,0.8762,0.8946,0.0417,0.0485,0.0156,0.9359
V25,0.8690496399251302,0.9072869109823406,0.8602889124251302,0.03125,0.032877604166666664,0.006184895833333333,0.9609375
