scenario_index,v27_rf,v28_rf,delta_rf,v27_progress,v28_progress,delta_progress,v27_comfort,v28_comfort,delta_comfort,v27_collision,v28_collision,delta_collision,v27_overlap,v28_overlap,delta_overlap,v27_offroad,v28_offroad,delta_offroad,v27_accuracy,v28_accuracy,delta_accuracy,v27_zero,v28_zero,fixed_zero,new_zero,persistent_zero,v27_failure_type,v28_failure_type,transition
921,0.9431697,0.8058862,-0.1372835,0.9509567,0.7548374,-0.1961193,0.925,0.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
369,0.971614,0.8343445,-0.1372694999999999,0.9594485,0.76334924,-0.19609926,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
2248,0.94093114,0.8042305,-0.13670064,0.9156159,0.7203293,-0.1952866000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
1904,0.9319784,0.7955386,-0.1364398,0.9028263,0.809698,-0.0931282999999999,1.0,0.7625,-0.2375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
499,1.0,0.86489564,-0.13510436,1.0,0.80699366,-0.19300634,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
2299,0.96625006,0.83125,-0.1350000599999999,1.0,1.0,0.0,0.8875,0.4375,-0.4499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
1189,0.9448764,0.8104599,-0.1344164999999999,0.9587519,0.7292285,-0.2295234,0.9125,1.0,0.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
2005,0.94021416,0.8070307,-0.13318346,0.9145916,0.7243295,-0.1902621,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
2404,0.9310495,0.7981291,-0.1329203999999999,0.90149933,0.71161294,-0.18988639,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
943,0.8836078,0.75127405,-0.13233375,0.8337254,0.64467716,-0.1890482399999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
382,0.9592504,0.83142895,-0.1278214499999999,0.9417862,0.75918406,-0.1826021399999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
2700,1.0,0.8740757,-0.1259243,1.0,0.82010823,-0.17989177,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
2074,0.92924196,0.8046303,-0.12461166,0.89891714,0.7209005,-0.1780166399999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
2186,0.9697033,0.8451517,-0.1245516000000001,0.956719,0.7787881,-0.1779309,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
1408,1.0,0.8762088,-0.1237911999999999,1.0,0.8231554,-0.1768446,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
710,1.0,0.87624997,-0.1237500299999999,1.0,1.0,0.0,1.0,0.58750004,-0.41249996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
3041,0.9521021,0.8284586,-0.1236434999999999,0.96371734,0.7549408,-0.20877654,0.925,1.0,0.0749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
2781,0.97749996,0.85405684,-0.1234431199999999,1.0,0.79150975,-0.20849025,0.925,1.0,0.0749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
1469,1.0,0.8784359,-0.1215640999999999,1.0,0.82633704,-0.17366296,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
2166,0.9232675,0.8034469,-0.1198206,0.8903821,0.7192098,-0.1711722999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
876,1.0,0.88139725,-0.1186027499999999,1.0,0.8305674,-0.1694326,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
1995,0.9475236,0.8290433,-0.1184802999999999,0.9250337,0.825419,-0.0996146999999999,1.0,0.83750004,-0.16249996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
