Checkpoint,RideFlux,Progress,Comfort,Collision,Overlap,OffroadBox,Accuracy
0.003M,0.11282510427083332,0.33089401390369794,0.8023786707682291,0.1796875,0.18880208333333334,0.6809895833333334,0.1328125
0.259M,0.328640944140625,0.5743506828335807,0.7735366720312499,0.08203125,0.14322916666666666,0.4596354166666667,0.3971354166666667
0.515M,0.5942265065885417,0.704075981513203,0.8844306735416666,0.09244791666666667,0.1640625,0.109375,0.7265625
0.771M,0.7240028610026042,0.7813190032204037,0.8183471451302083,0.05078125,0.09375,0.015625,0.890625
1.027M,0.7941970544270833,0.8506878693137369,0.8512140739257813,0.052083333333333336,0.07421875,0.020833333333333332,0.9049479166666666
1.283M,0.7715584012109376,0.8648500077201432,0.7427020842968749,0.048177083333333336,0.07421875,0.020833333333333332,0.90625
1.539M,0.6495725300260417,0.7113196343870704,0.7925892080598959,0.07161458333333333,0.14192708333333334,0.01171875,0.8463541666666666
1.795M,0.7991407154557292,0.8640728805591146,0.7966627330651042,0.049479166666666664,0.06640625,0.005208333333333333,0.9283854166666666
2.051M,0.7513392234895834,0.8058219508195311,0.8443133398489584,0.057291666666666664,0.07552083333333333,0.028645833333333332,0.8958333333333334
2.307M,0.7598572798828126,0.8522382051321093,0.7929334561562501,0.08333333333333333,0.11588541666666667,0.0026041666666666665,0.8815104166666666
2.563M,0.7421444984765625,0.7782334690045573,0.7945140663723959,0.06640625,0.08854166666666667,0.01171875,0.8997395833333334
2.819M,0.7622883515625,0.7998490711848958,0.8251421353255207,0.05859375,0.08072916666666667,0.020833333333333332,0.8984375
FINAL,0.7666703522005207,0.8185696072526042,0.7913787078033853,0.061197916666666664,0.08463541666666667,0.0026041666666666665,0.9127604166666666
