Group,Scenarios,Comfort,Mean_dA0,Mean_dA1,P95_dA0,P95_dA1,YawAccel_window,Jerk_window,YawRate_window,YawAccel_scenario,Jerk_scenario
TRADEOFF_BAD,13,0.5307692307692308,0.021293317141898197,0.07745588964990319,0.07339060809463258,0.3757657676935195,0.3298076923076923,0.1451923076923077,0.023076923076923078,0.8461538461538461,0.3076923076923077
GOOD_BOTH,47,0.8781914893617021,0.012383601772250225,0.03733629354258608,0.043019421398639505,0.12600371539592725,0.11382978723404255,0.014627659574468085,0.005851063829787234,0.723404255319149,0.1702127659574468
LOW_COMFORT_SAFE,22,0.37329545454545454,0.04498063139451322,0.08756030128659356,0.1959814125671975,0.5118946228176354,0.20852272727272728,0.4096590909090909,0.011931818181818182,0.5,0.6818181818181818
LOW_PROGRESS_SAFE,75,0.9165,0.015253504044926414,0.025347154509504023,0.054941597580909704,0.09391730129718781,0.03883333333333333,0.0485,0.0,0.24,0.4266666666666667
NEW_OVERLAP,23,0.8498635122838945,0.026595922325890062,0.032611842534559315,0.09578742086887353,0.12421492999419563,0.07279344858962693,0.07097361237488627,0.007279344858962694,0.4782608695652174,0.391304347826087
