Checkpoint,RideFlux,Progress,Comfort,Collision,Overlap,OffroadBox,Accuracy
0.003M,0.11392625996093748,0.3927555907643229,0.9954390321614585,0.1875,0.19661458333333334,0.68359375,0.12109375
0.259M,0.48598892139322913,0.6569075548370573,0.9464615450911458,0.09244791666666667,0.18359375,0.21484375,0.6015625
0.515M,0.6120975881119791,0.7526117247089843,0.6128796504322916,0.08203125,0.11067708333333333,0.07552083333333333,0.8138020833333334
0.771M,0.6736149406510417,0.8029461645936197,0.6779373326276042,0.05078125,0.08984375,0.07552083333333333,0.8346354166666666
1.027M,0.6744592678255209,0.7376497716958333,0.7735405474088543,0.08984375,0.11458333333333333,0.05078125,0.8346354166666666
1.283M,0.7414927611458334,0.8551476137960936,0.7252140339505209,0.078125,0.109375,0.036458333333333336,0.8541666666666666
1.539M,0.7389209422005208,0.7997007958368879,0.8049007269466145,0.0703125,0.09635416666666667,0.010416666666666666,0.89453125
1.795M,0.7451875137630207,0.7696900558364583,0.873569443658854,0.061197916666666664,0.08333333333333333,0.006510416666666667,0.91015625
2.051M,0.76340379703125,0.8196231428763542,0.7823668647395833,0.05078125,0.07291666666666667,0.00390625,0.9231770833333334
2.307M,0.7535593376171876,0.8122969906592057,0.7692984553776041,0.0625,0.08463541666666667,0.0026041666666666665,0.9127604166666666
2.563M,0.7573733367578125,0.8714046022278645,0.6297571696341145,0.059895833333333336,0.07161458333333333,0.014322916666666666,0.9140625
2.819M,0.7756606704557291,0.9131629855785808,0.6822817293229168,0.07291666666666667,0.0859375,0.013020833333333334,0.9010416666666666
FINAL,0.7054433168359374,0.7467288673781249,0.8377770527083334,0.059895833333333336,0.08854166666666667,0.016927083333333332,0.8958333333333334
