scenario_index,episode_length_v17,accuracy_v17,at_fault_collision_v17,comfort_v17,distance_into_oncoming_traffic_v17,nuplan_driving_direction_compliance_v17,log_divergence_v17,offroad_v17,offroad_in_box_v17,distance_on_multiple_lanes_v17,time_on_multiple_lanes_v17,multiple_lanes_score_v17,overlap_v17,progress_ratio_v17,making_progress_v17,run_red_light_v17,sdc_off_route_v17,sdc_progression_v17,sdc_wrongway_v17,max_overspeed_m_per_s_v17,max_overspeed_km_per_h_v17,nuplan_speed_compliance_v17,min_ttc_v17,average_ttc_v17,ttc_within_bound_v17,nuplan_aggregate_score_v17,vmax_aggregate_score_v17,rideflux_aggregate_score_v17,episode_length_v25,accuracy_v25,at_fault_collision_v25,comfort_v25,distance_into_oncoming_traffic_v25,nuplan_driving_direction_compliance_v25,log_divergence_v25,offroad_v25,offroad_in_box_v25,distance_on_multiple_lanes_v25,time_on_multiple_lanes_v25,multiple_lanes_score_v25,overlap_v25,progress_ratio_v25,making_progress_v25,run_red_light_v25,sdc_off_route_v25,sdc_progression_v25,sdc_wrongway_v25,max_overspeed_m_per_s_v25,max_overspeed_km_per_h_v25,nuplan_speed_compliance_v25,min_ttc_v25,average_ttc_v25,ttc_within_bound_v25,nuplan_aggregate_score_v25,vmax_aggregate_score_v25,rideflux_aggregate_score_v25,d_RideFlux,d_Progress,d_Comfort,d_Collision,d_Overlap,d_OffroadBox,d_Accuracy,V25_PrimaryFailure
10,80,1,0.0,0.8875,0.0,1.0,1.6931435,1.0,0.0,50.84844,6.2,0.0,0.0,0.97547793,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3,4.535,1.0,0.0,0.0,0.94908446,80,1,0.0,0.8125,0.0,1.0,4.5775847,1.0,0.0,42.641533,5.800000000000001,0.0,0.0,0.86525196,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1000001,4.74375,1.0,0.0,0.0,0.8494264,-0.09965805999999999,-0.11022597,-0.07499999999999996,0.0,0.0,0.0,0,PASS
11,80,1,0.0,0.8875,0.0,1.0,12.918181,1.0,0.0,110.057495,6.4,0.0,0.0,0.83652323,1.0,0.0,0.0,0.0,0.0,0.5493717,1.9777381,0.989921,5.0,5.0,1.0,0.0,0.0,0.8518163,80,1,0.0,0.7,0.0,1.0,12.698592,1.0,0.0,169.2757,7.6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.6224346,13.040764,0.059494197,5.0,5.0,1.0,0.0,0.0,0.91,0.05818370000000006,0.16347677000000005,-0.1875,0.0,0.0,0.0,0,PASS
12,80,1,0.0,1.0,0.0,1.0,0.14589216,1.0,0.0,0.13240476,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,1.0,80,1,0.0,1.0,0.0,1.0,2.2991083,1.0,0.0,6.0519543,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,PASS
13,1,0,1.0,1.0,0.0,1.0,0.0055940687,1.0,0.0,0.010815969,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,1.0,0.015435289,1.0,0.0,0.031214735,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0,OVERLAP+AT_FAULT
14,80,1,0.0,0.8875,0.0,1.0,10.734176,1.0,0.0,141.4139,8.0,0.0,0.0,0.8260731,1.0,0.0,0.0,0.0,0.0,0.98479843,3.5452743,0.96221733,5.0,5.0,1.0,0.0,0.0,0.84450114,80,1,0.0,0.71250004,0.0,1.0,3.07561,1.0,0.0,165.29904,8.0,0.0,0.0,0.9629191,1.0,0.0,0.0,0.0,0.0,1.0211811,3.676252,0.75173604,5.0,5.0,1.0,0.0,0.0,0.88779336,0.04329221999999999,0.13684600000000002,-0.17499995999999995,0.0,0.0,0.0,0,PASS
15,80,1,0.0,0.675,0.0,1.0,12.247798,1.0,0.0,160.51707,7.800000000000001,0.0,0.0,0.86163837,1.0,0.0,0.0,0.0,0.0,3.372158,12.139769,0.6489096,5.0,5.0,1.0,0.0,0.0,0.8056469,80,1,0.0,0.575,0.0,1.0,17.28311,1.0,0.0,194.17664,8.0,0.0,0.0,0.9626474,1.0,0.0,0.0,0.0,0.0,6.4052696,23.05897,0.0,5.0,5.0,1.0,0.0,0.0,0.8463532,0.04070629999999997,0.10100903000000006,-0.10000000000000009,0.0,0.0,0.0,0,PASS
16,80,1,0.0,1.0,0.0,1.0,6.550154,0.0,0.0,111.76523,8.0,0.0,0.0,0.8646715,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.95770985,0.8064925,0.90527004,80,1,0.0,1.0,0.0,1.0,1.7663177,0.0,0.0,132.94681,8.0,0.0,0.0,0.99999994,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,1.0,0.84210527,1.0,0.09472996,0.13532844,0.0,0.0,0.0,0.0,0,PASS
17,80,1,0.0,0.8875,0.0,1.0,7.39146,1.0,0.0,128.46297,8.0,0.0,0.0,0.9002727,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.8964409,80,1,0.0,0.8,0.0,1.0,6.788289,1.0,0.0,153.5549,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.94,0.04355909999999996,0.09972729999999996,-0.08749999999999991,0.0,0.0,0.0,0,PASS
18,80,1,0.0,1.0,0.0,1.0,7.138266,0.0,0.0,62.1083,8.0,0.0,0.0,0.7455458,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.92048305,0.7751436,0.82188207,80,1,0.0,1.0,0.0,1.0,5.8597484,0.0,0.0,58.143032,7.1000000000000005,0.0,0.0,0.8049615,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.93905044,0.7907793,0.86347306,0.041590989999999994,0.05941569999999996,0.0,0.0,0.0,0.0,0,PASS
19,80,1,0.0,0.8,0.0,1.0,5.979289,0.0,0.0,72.49745,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,4.7125,1.0,0.975,0.8210527,0.94,80,1,0.0,0.8875,0.0,1.0,2.8272133,0.0,0.0,55.837452,7.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2,4.6925,1.0,0.9859375,0.83026314,0.96625006,0.026250060000000075,0.0,0.08749999999999991,0.0,0.0,0.0,0,PASS
