scenario_index,group_27,reference_step_27,reference_seconds_27,lead_s,frame_27,time_from_start_s_27,action_accel_27,action_steer_27,brake_strength_27,throttle_strength_27,abs_steer_27,delta_accel_27,delta_steer_27,abs_delta_accel_27,abs_delta_steer_27,accel_change_excess_27,steer_change_excess_27,smooth_excess_27,risk_object_index_27,risk_distance_27,risk_static_clearance_27,risk_predicted_clearance_27,risk_dcpa_27,risk_tcpa_raw_27,risk_tcpa_clipped_27,risk_future_tcpa_27,risk_approaching_27,risk_closing_speed_27,second_object_index_27,second_distance_27,second_static_clearance_27,second_predicted_clearance_27,second_dcpa_27,second_future_tcpa_27,second_approaching_27,top2_mean_predicted_clearance_27,second_minus_first_pred_gap_27,num_pred_conflict_0_27,num_pred_conflict_1_27,num_pred_conflict_2_27,min_future_tcpa_conflict_0_27,min_future_tcpa_conflict_1_27,min_future_tcpa_conflict_2_27,risk_relative_x_27,risk_relative_y_27,risk_relative_vx_27,risk_relative_vy_27,risk_closest_x_27,risk_closest_y_27,group_28,reference_step_28,reference_seconds_28,frame_28,time_from_start_s_28,action_accel_28,action_steer_28,brake_strength_28,throttle_strength_28,abs_steer_28,delta_accel_28,delta_steer_28,abs_delta_accel_28,abs_delta_steer_28,accel_change_excess_28,steer_change_excess_28,smooth_excess_28,risk_object_index_28,risk_distance_28,risk_static_clearance_28,risk_predicted_clearance_28,risk_dcpa_28,risk_tcpa_raw_28,risk_tcpa_clipped_28,risk_future_tcpa_28,risk_approaching_28,risk_closing_speed_28,second_object_index_28,second_distance_28,second_static_clearance_28,second_predicted_clearance_28,second_dcpa_28,second_future_tcpa_28,second_approaching_28,top2_mean_predicted_clearance_28,second_minus_first_pred_gap_28,num_pred_conflict_0_28,num_pred_conflict_1_28,num_pred_conflict_2_28,min_future_tcpa_conflict_0_28,min_future_tcpa_conflict_1_28,min_future_tcpa_conflict_2_28,risk_relative_x_28,risk_relative_y_28,risk_relative_vx_28,risk_relative_vy_28,risk_closest_x_28,risk_closest_y_28,group,same_risk_object,relation_current_27,relation_closest_27,lateral_closing_27,crosses_lateral_axis_27,relation_current_28,relation_closest_28,lateral_closing_28,crosses_lateral_axis_28,steer_sign_switched,delta_steer_28_minus_27,abs_delta_steer_policy
24,NEW_COLLISION,24,2.4000000000000004,2.0,4,0.4,-0.0186800006777048,-0.1460215002298355,0.0186800006777048,0.0,0.1460215002298355,-0.0050738984718918,-0.0314628779888153,0.0050738984718918,0.0314628779888153,0.0,0.0,0.0,15,52.210012470279366,39.85050799422287,-7.272922097577716,5.086582378478777,2.6784645471662567,2.6784645471662567,2.6784645471662567,1,19.30749843294757,4,4.497637836129703,-5.498188592031968,-5.498188592031968,4.497637836129703,5.0,0,-6.3855553448048425,1.7747335055457478,3,4,4,1.7366860152080108,1.7366860152080108,1.7366860152080108,52.04986572265625,-4.086181640625,-19.39619755744934,-0.3731465155881324,0.0978382151954448,-5.085641353526434,NEW_COLLISION,24,2.4000000000000004,4,0.4,-0.089942343533039,-0.0423894599080085,0.089942343533039,0.0,0.0423894599080085,-0.0027365460991859,0.040550909936428,0.0027365460991859,0.040550909936428,0.0,0.010550909936428,0.010550909936428,15,52.19864728281942,39.83914280676293,-8.239457330510891,4.120047145545601,2.698282040881507,2.698282040881507,2.698282040881507,1,19.22462164848499,4,4.285346804148897,-5.710479624012773,-5.710479624012773,4.285346804148897,5.0,0,-6.974968477261832,2.528977706498118,4,4,4,1.7401454839475212,1.7401454839475212,1.7401454839475212,52.11126708984375,-3.01904296875,-19.28047728538513,-0.4076976963190475,0.0871014910652192,-4.1191263408364485,NEW_COLLISION,True,SAME_SIGN,SAME_SIGN,False,False,SAME_SIGN,SAME_SIGN,False,False,False,0.10363204032182702,0.10363204032182702
24,NEW_COLLISION,24,2.4000000000000004,1.0,14,1.4,-0.0523527339100837,0.1198491230607032,0.0523527339100837,0.0,0.1198491230607032,-0.0160509832203388,-0.0014920011162757,0.0160509832203388,0.0014920011162757,0.0,0.0,0.0,15,32.66185307146986,20.302348595413363,-6.283527884722114,6.07597659133438,1.656691306085815,1.656691306085815,1.656691306085815,1,19.03285126761238,14,32.05959378957157,18.80077998097046,4.012612577232405,17.271426385833514,0.6908824678020766,1,-1.1354576537448544,10.296140461954518,1,1,1,1.656691306085815,1.656691306085815,1.656691306085815,31.83050537109375,7.322265625,-19.35625624656677,-0.7550631862366686,-0.2368360709626742,6.071359008816256,NEW_COLLISION,24,2.4000000000000004,14,1.4,-0.0863082632422447,0.0408922061324119,0.0863082632422447,0.0,0.0408922061324119,-0.0031647160649299,0.0238795317709445,0.0031647160649299,0.0238795317709445,0.0,0.0,0.0,15,32.59232064001898,20.23281616396249,-10.075525184865644,2.2839792911908474,1.7083593850674543,1.7083593850674543,1.7083593850674543,1,18.98445139794265,14,31.243033974112915,17.984220165511807,1.4336817501822168,14.692495558783326,0.7100135534351001,1,-4.320921717341714,11.509206935047862,1,1,2,1.7083593850674543,1.7083593850674543,0.7100135534351001,32.42657470703125,3.28277587890625,-19.022236347198486,-0.5852848931029158,-0.0702412816765374,2.282898938835682,NEW_COLLISION,True,SAME_SIGN,SAME_SIGN,True,False,SAME_SIGN,SAME_SIGN,True,False,False,-0.07895691692829129,0.07895691692829129
24,NEW_COLLISION,24,2.4000000000000004,0.5,19,1.9,0.0415151193737983,0.1835920959711074,0.0,0.0415151193737983,0.1835920959711074,0.0225252024829387,0.0308474600315094,0.0225252024829387,0.0308474600315094,0.0,0.0,0.0,15,22.57450636447637,10.215001888419875,-10.243030456655143,2.116474019401349,1.1475725890723378,1.1475725890723378,1.1475725890723378,1,19.49861511653446,5,38.62074340895995,25.83156648268252,-8.491084747549824,4.298092178727612,5.0,0,-9.367057602102484,1.7519457091053212,2,2,3,1.1475725890723378,1.1475725890723378,0.2821156666325777,22.4788818359375,-2.07562255859375,-19.584848403930664,-0.0355951036079886,0.0038466464495456,-2.116470523799468,NEW_COLLISION,24,2.4000000000000004,19,1.9,-0.0128159066662192,0.0561082959175109,0.0128159066662192,0.0,0.0561082959175109,0.0403809072449803,0.0204597264528274,0.0403809072449803,0.0204597264528274,0.0,0.0,0.0,15,22.6726813531975,10.313176877141007,-12.295218944559004,0.0642855314974881,1.1933454333681903,1.1933454333681903,1.1933454333681903,1,18.99910825960888,5,38.2414414861037,25.45226455982627,-2.141900319070116,10.64727660720732,4.832231280280671,1,-7.218559631814561,10.15331862548889,2,3,3,1.1933454333681903,0.2561805337797869,0.2561805337797869,22.66229248046875,0.686279296875,-18.99203324317932,-0.5212388176774425,-0.0017636606561595,0.0642613341053891,NEW_COLLISION,True,OPPOSITE_SIGN,OPPOSITE_SIGN,False,False,SAME_SIGN,NEUTRAL,True,False,False,-0.1274838000535965,0.1274838000535965
278,FIXED_COLLISION,78,7.800000000000001,3.0,48,4.800000000000001,-0.0218480266630649,0.0110900988802313,0.0218480266630649,0.0,0.0110900988802313,-0.0224535202723927,0.000881110318005,0.0224535202723927,0.000881110318005,0.0,0.0,0.0,3,6.299366925061162,-3.748316362932692,-7.257174663149822,2.790508624844031,3.183799403934464,3.183799403934464,3.183799403934464,1,1.5903077106288397,1,4.21613430299109,-5.035384504230867,-5.035384504230867,4.21613430299109,5.0,0,-6.146279583690345,2.221790158918955,4,5,6,3.183799403934464,3.183799403934464,1.9655252743221263,5.45635986328125,-3.148040771484375,-1.7701728343963623,0.114112813146491,-0.1795153517308696,-2.784728465007292,FIXED_COLLISION,78,7.800000000000001,48,4.800000000000001,-0.0557616166770458,-0.0005745140952058,0.0557616166770458,0.0,0.0005745140952058,0.0081508420407772,-0.0010034960869234,0.0081508420407772,0.0010034960869234,0.0,0.0,0.0,11,9.654791229947223,0.3356219194237262,-6.104914216315768,3.214255094207731,4.3187915263478605,4.3187915263478605,4.3187915263478605,1,1.9877568446693463,3,7.561560083729345,-2.4861232042645085,-5.463750388856074,4.58393289913778,5.0,0,-5.784332302585921,0.6411638274596942,5,6,6,4.3187915263478605,2.0625225801724656,2.0625225801724656,-8.8546142578125,3.848480224609375,2.102754831314087,-0.1487066082563615,0.226745489653803,3.20624738495987,FIXED_COLLISION,False,OPPOSITE_SIGN,OPPOSITE_SIGN,True,False,NEUTRAL,NEUTRAL,True,False,False,-0.0116646129754371,0.0116646129754371
278,FIXED_COLLISION,78,7.800000000000001,2.0,58,5.800000000000001,-0.1771174669265747,-0.0587077848613262,0.1771174669265747,0.0,0.0587077848613262,0.0006247460842132,0.0018893331289291,0.0006247460842132,0.0018893331289291,0.0,0.0,0.0,3,5.002666331028988,-5.045016956964866,-8.106184656710502,1.9414986312833524,6.908735665393223,5.0,5.0,0,0.6658710446908537,1,4.766042379174897,-4.48547642804706,-4.48547642804706,4.766042379174897,5.0,0,-6.295830542378781,3.6207082286634416,3,3,5,4.446032036572114,4.446032036572114,1.0148361034622488,4.135986328125,-2.814300537109375,-0.6612930297851562,0.2117868074667193,0.8295211791992188,-1.7553664997757783,FIXED_COLLISION,78,7.800000000000001,58,5.800000000000001,-0.1818335354328155,-0.0423951745033264,0.1818335354328155,0.0,0.0423951745033264,0.0029821991920471,-0.0011027194559574,0.0029821991920471,0.0011027194559574,0.0,0.0,0.0,11,7.750761435244717,-1.5684078752787816,-5.834104084958572,3.485065225564927,2.567199297834342,2.567199297834342,2.567199297834342,1,2.4087459562740654,1,5.409648037961633,-3.841870769260325,-3.841870769260325,5.409648037961633,5.0,0,-4.837987427109448,1.9922333156982468,4,6,6,2.567199297834342,1.1123733785802554,1.1123733785802554,-6.857421875,3.61248779296875,2.696271538734436,-0.049866973913069,0.0644445260097654,3.484469332553996,FIXED_COLLISION,False,SAME_SIGN,SAME_SIGN,True,False,OPPOSITE_SIGN,OPPOSITE_SIGN,True,False,False,0.016312610357999795,0.016312610357999795
278,FIXED_COLLISION,78,7.800000000000001,1.0,68,6.800000000000001,-0.1506559997797012,-0.036339521408081,0.1506559997797012,0.0,0.036339521408081,0.0050572603940963,0.0048543587327003,0.0050572603940963,0.0048543587327003,0.0,0.0,0.0,3,4.730305219984756,-5.317378068009098,-5.317378068009098,4.730305219984756,-6.54244636137272,0.0,5.0,0,-0.2786246649029309,5,7.802343265151084,-1.4558130662900872,-4.6033734751556254,4.6547828562855456,2.402716657703215,1,-4.9603757715823615,0.7140045928534722,4,4,5,2.402716657703215,2.402716657703215,0.052114382537529,3.95294189453125,-2.59808349609375,0.4261032342910766,0.1410199556590399,3.95294189453125,-2.59808349609375,FIXED_COLLISION,78,7.800000000000001,68,6.800000000000001,-0.1102868691086769,-0.0360328555107116,0.1102868691086769,0.0,0.0360328555107116,0.0181077793240547,-0.0001291446387767,0.0181077793240547,0.0001291446387767,0.0,0.0,0.0,30,21.216084921166736,12.008460982315215,-6.179442386023387,3.028181552828132,4.838836701146558,4.838836701146558,4.838836701146558,1,4.295220620132754,5,5.089404020267261,-4.16875231117391,-5.883494595716348,3.3746617357248234,1.1449355482976795,1,-6.031468490869868,0.2959477903070393,6,7,8,1.1449355482976795,0.1547519647447106,0.1547519647447106,-20.9443359375,3.38482666015625,4.339024245738983,-0.0737952082180228,0.0514938299465548,3.0277436982621286,FIXED_COLLISION,False,SAME_SIGN,SAME_SIGN,True,False,OPPOSITE_SIGN,OPPOSITE_SIGN,True,False,False,0.00030666589736939864,0.00030666589736939864
278,FIXED_COLLISION,78,7.800000000000001,0.5,73,7.300000000000001,-0.139110654592514,0.0022344773169606,0.139110654592514,0.0,0.0022344773169606,0.0024721771478652,0.0068605470005422,0.0024721771478652,0.0068605470005422,0.0,0.0,0.0,3,5.156940613721512,-4.890742674272342,-4.890742674272342,5.156940613721512,-3.358608310223836,0.0,5.0,0,-1.0049992643581478,5,6.599754886202794,-2.6584014452383773,-4.624854528049657,4.633301803391514,1.4747370948778225,1,-4.757798601160999,0.265888146222685,4,5,6,1.4747370948778225,1.4747370948778225,1.1002242437532312,4.52227783203125,-2.478515625,1.232228398323059,0.1572544641944588,4.52227783203125,-2.478515625,FIXED_COLLISION,78,7.800000000000001,73,7.300000000000001,-0.0243686363101005,-0.0239657200872898,0.0243686363101005,0.0,0.0239657200872898,0.0031032245606184,0.0017145741730928,0.0031032245606184,0.0017145741730928,0.0,0.0,0.0,30,19.298517116689595,10.090893177838076,-6.047850607166507,3.1597733316850123,4.396738138420913,4.396738138420913,4.396738138420913,1,4.271612817669345,5,3.904241915970074,-5.353914415471097,-5.832185025790299,3.425971305650872,0.5106028651149075,1,-5.940017816478402,0.215665581376208,5,6,7,0.5106028651149075,0.5106028651149075,0.5106028651149075,-19.01446533203125,3.298919677734375,4.329931199550629,-0.0316668497362009,0.0231083097716116,3.159688831775576,FIXED_COLLISION,False,NEUTRAL,NEUTRAL,True,False,OPPOSITE_SIGN,OPPOSITE_SIGN,True,False,False,-0.0262001974042504,0.0262001974042504
643,FIXED_COLLISION,72,7.2,3.0,42,4.2,-0.0709747299551963,-0.0130270337685942,0.0709747299551963,0.0,0.0130270337685942,-0.0308059975504875,-0.0085691879503428,0.0308059975504875,0.0085691879503428,0.0,0.0,0.0,2,5.007851950866463,-4.219340862615352,-4.219340862615352,5.007851950866463,-3.965288588181581,0.0,5.0,0,-0.4342674221337189,3,14.240780985487296,5.020013845073645,-0.9682506702238758,8.252516470189775,5.0,0,-2.593795766419614,3.251090192391477,2,2,2,5.0,5.0,5.0,1.43804931640625,4.79693603515625,0.6993200778961182,0.2437160280216943,1.43804931640625,4.79693603515625,FIXED_COLLISION,72,7.2,42,4.2,-0.0695305615663528,0.0161088313907384,0.0695305615663528,0.0,0.0161088313907384,-0.0093896277248859,-0.0009537618607282,0.0093896277248859,0.0009537618607282,0.0,0.0,0.0,2,7.112337110781509,-2.1148557027003063,-2.1148557027003063,7.112337110781509,-3.425021620063371,0.0,5.0,0,-1.250553998799946,6,11.81882527346699,2.671623434959338,-1.6807830950649167,7.466418743442735,4.723277064001762,1,-1.8978193988826115,0.4340726076353896,2,3,3,4.723277064001762,4.723277064001762,4.723277064001762,6.06964111328125,3.7073974609375,1.5970098972320557,-0.2154922217737223,6.06964111328125,3.7073974609375,FIXED_COLLISION,True,OPPOSITE_SIGN,OPPOSITE_SIGN,False,False,SAME_SIGN,SAME_SIGN,True,False,True,0.0291358651593326,0.0291358651593326
643,FIXED_COLLISION,72,7.2,2.0,52,5.2,-0.0404434837400913,-0.0530013404786586,0.0404434837400913,0.0,0.0530013404786586,0.0079680047929286,-0.0004728995263576,0.0079680047929286,0.0004728995263576,0.0,0.0,0.0,1,48.68450691122296,39.403394805125046,-8.202611412236429,1.078500693861483,2.435379209003662,2.435379209003662,2.435379209003662,1,19.98071383079944,2,5.4597489959431895,-3.767443817538626,-3.767443817538626,5.4597489959431895,5.0,0,-5.985027614887528,4.435167594697803,2,2,3,2.435379209003662,2.435379209003662,2.435379209003662,-47.7347412109375,-9.56951904296875,19.67794394493103,3.4933457639826457,0.1885143484870326,-1.0618973995044012,FIXED_COLLISION,72,7.2,52,5.2,-0.0566873401403427,0.0004217251262161,0.0566873401403427,0.0,0.0004217251262161,-0.0027420967817306,-0.0018397752137389,0.0027420967817306,0.0018397752137389,0.0,0.0,0.0,1,43.877451998856586,34.59633989275868,-5.7963790074811214,3.4847330986167893,2.1108245168591004,2.1108245168591004,2.1108245168591004,1,20.65576520968567,5,12.237609101182716,2.9083533122479466,-2.3834012243931904,6.945854564541578,5.0,0,-4.089890115937156,3.412977783087931,4,4,4,2.1108245168591004,2.1108245168591004,2.1108245168591004,-43.7354736328125,-3.52691650390625,20.72120833396912,0.0199850938449692,0.0033609374746248,-3.484731477846559,FIXED_COLLISION,True,SAME_SIGN,SAME_SIGN,True,False,NEUTRAL,NEUTRAL,True,False,False,0.0534230656048747,0.0534230656048747
643,FIXED_COLLISION,72,7.2,1.0,62,6.2,-0.1156693771481514,0.2291775643825531,0.1156693771481514,0.0,0.2291775643825531,-0.0126435086131095,0.1170512735843658,0.0126435086131095,0.1170512735843658,0.0,0.0,0.0,1,28.44287020548105,19.16175809938314,-8.581893888683917,0.6992182174139951,1.3671013892974089,1.3671013892974089,1.3671013892974089,1,20.792664955996813,2,6.0131052022169325,-3.2140876112648837,-3.2140876112648837,6.0131052022169325,5.0,0,-5.8979907499744,5.367806277419033,2,3,3,1.3671013892974089,1.3671013892974089,1.3671013892974089,-27.5909423828125,-6.9091796875,20.294081449508667,4.5548444254402085,0.1531245613255691,-0.6822455454471337,FIXED_COLLISION,72,7.2,62,6.2,-0.215688556432724,0.0692756921052932,0.215688556432724,0.0,0.0692756921052932,-0.0330585688352584,0.0006404891610145,0.0330585688352584,0.0006404891610145,0.0,0.0,0.0,1,22.84775993987575,13.56664783377784,-5.957805734740862,3.3233063713570488,1.0293107368522965,1.0293107368522965,1.0293107368522965,1,21.72752088109394,5,11.164156016084256,1.834900227149488,-4.781699465531166,4.547556323403602,5.0,0,-5.369752600136014,1.1761062692096962,3,3,3,1.0293107368522965,1.0293107368522965,1.0293107368522965,-22.63623046875,-3.101806640625,21.96002495288849,-0.2150375024918585,-0.032541003197533,-3.3231470507657725,FIXED_COLLISION,True,OPPOSITE_SIGN,OPPOSITE_SIGN,True,False,OPPOSITE_SIGN,OPPOSITE_SIGN,False,False,False,-0.15990187227725988,0.15990187227725988
