scenario_index,v26_rf,v27_rf,delta_rf,v26_progress,v27_progress,delta_progress,v26_comfort,v27_comfort,delta_comfort,v26_collision,v27_collision,v26_overlap,v27_overlap,v26_offroad,v27_offroad,v26_accuracy,v27_accuracy
38,1.0,0.9817409,-0.018259099999999973,1.0,0.9739155,-0.026084499999999955,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
39,0.92114496,0.91239434,-0.008750620000000042,0.88734996,0.87484896,-0.012500999999999984,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
40,0.8665264,0.8936718,0.027145399999999986,0.8575377,0.8963168,0.038779100000000066,0.8875,0.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
41,0.93081284,0.96250004,0.031687200000000026,0.94937545,1.0,0.05062454999999999,0.8875,0.875,-0.012499999999999956,0.0,0.0,0.0,0.0,0.0,0.0,1,1
42,0.9384443,0.93513197,-0.0033123299999999745,0.96563476,0.90733135,-0.058303410000000055,0.875,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1,1
43,0.9124247,0.84357417,-0.06885052999999997,0.8748923,0.82474875,-0.050143549999999926,1.0,0.8875,-0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1,1
44,0.9120413,0.90305215,-0.008989150000000001,0.92255896,0.9097173,-0.012841660000000088,0.8875,0.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
45,0.8949248,0.9311264,0.036201600000000056,0.8498926,0.9498234,0.09993079999999999,1.0,0.8875,-0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1,1
46,0.9312382,0.9226467,-0.008591499999999974,0.90176874,0.8894953,-0.012273439999999969,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
47,0.87754023,0.96250004,0.08495980999999997,0.87327176,1.0,0.12672824000000005,0.8875,0.875,-0.012499999999999956,0.0,0.0,0.0,0.0,0.0,0.0,1,1
48,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
49,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
50,0.9313387,0.9569629,0.025624199999999986,0.90191245,0.9385184,0.03660595,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
51,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
52,0.7425335,0.7469589,0.004425400000000024,0.755405,0.7938699,0.038464900000000024,0.71250004,0.6375,-0.07500004000000005,0.0,0.0,0.0,0.0,0.0,0.0,1,1
53,0.96625006,0.96625006,0.0,1.0,1.0,0.0,0.8875,0.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
54,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
55,0.97749996,1.0,0.022500040000000054,0.99999994,0.99999994,0.0,0.925,1.0,0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1,1
56,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
57,0.96250004,0.9048548,-0.05764524000000004,0.99999994,0.9122926,-0.08770734000000002,0.875,0.8875,0.012499999999999956,0.0,0.0,0.0,0.0,0.0,0.0,1,1
58,0.84487385,0.89710635,0.052232500000000015,0.77839106,0.8530091,0.07461803999999994,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
59,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
60,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
61,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
62,0.90372545,0.8812254,-0.022500049999999994,0.8624649,0.8624649,0.0,1.0,0.925,-0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1,1
63,0.9668712,0.99089974,0.024028539999999987,0.9526731,0.98699963,0.034326529999999966,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
64,0.8598488,0.8437161,-0.0161327,0.7997839,0.8249515,0.025167599999999957,1.0,0.8875,-0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1,1
65,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
66,0.8479704,0.8830496,0.03507919999999998,0.83102906,0.89185643,0.06082737000000005,0.8875,0.8625,-0.02499999999999991,0.0,0.0,0.0,0.0,0.0,0.0,1,1
67,0.9079833,1.0,0.09201669999999995,0.90069044,1.0,0.09930956000000002,0.925,1.0,0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1,1
68,1.0,0.96625006,-0.03374993999999998,1.0,1.0,0.0,1.0,0.8875,-0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1,1
69,0.8477235,0.831905,-0.015818499999999958,0.7824621,0.8080786,0.02561649999999993,1.0,0.8875,-0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1,1
70,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
71,1.0,0.99113715,-0.008862849999999978,0.99999994,0.98733866,-0.012661279999999997,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
72,0.9107817,0.83766997,-0.07311173000000004,0.95290244,0.9395285,-0.013373940000000029,0.8125,0.6,-0.21250000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1,1
73,0.8703062,0.8943836,0.024077399999999916,0.921866,0.93483377,0.012967770000000045,0.75,0.8,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,1,1
74,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0
75,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
76,0.97749996,0.97749996,0.0,1.0,1.0,0.0,0.925,0.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
77,0.90358925,1.0,0.09641074999999999,0.86227036,1.0,0.13772964,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
78,0.9764417,1.0,0.023558300000000032,0.96634525,1.0,0.033654749999999956,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
79,0.8959225,0.97394353,0.07802103000000005,0.8513178,0.96277636,0.11145855999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
80,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
81,0.77559,0.86221784,0.08662784000000001,0.76512855,0.85673976,0.09161120999999994,0.8,0.875,0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1,1
82,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
83,0.97374994,1.0,0.026250059999999964,0.99999994,0.99999994,0.0,0.9125,1.0,0.08750000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1,1
84,0.8837933,0.92966634,0.04587304000000003,0.8339903,0.8995234,0.06553310000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
85,0.90512127,0.8851306,-0.019990669999999988,0.9126732,0.90018654,-0.012486659999999983,0.8875,0.85,-0.03749999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1,1
86,0.8822923,0.92935276,0.04706045999999997,0.8318461,0.8990754,0.06722929999999994,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
87,0.9171287,0.9405815,0.02345279999999994,0.88161236,0.9151164,0.03350404000000007,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
88,0.897991,0.8894257,-0.008565299999999998,0.90248716,0.8902509,-0.012236259999999999,0.8875,0.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
89,0.92073005,1.0,0.07926995000000003,0.88675725,1.0,0.11324274999999995,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
90,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
